t_s,phase,nominal_along_mm,b_um
0.000000,pre_motion,0.000000,-0.043576
0.001000,pre_motion,0.000000,-0.043576
0.002000,pre_motion,0.000000,-0.043576
0.003000,pre_motion,0.000000,-0.043576
0.004000,pre_motion,0.000000,-0.043576
0.005000,pre_motion,0.000000,-0.043576
0.006000,pre_motion,0.000000,-0.043576
0.007000,pre_motion,0.000000,-0.043576
0.008000,pre_motion,0.000000,-0.043576
0.009000,pre_motion,0.000000,-0.043576
0.010000,pre_motion,0.000000,-0.043576
0.011000,pre_motion,0.000000,-0.043576
0.012000,pre_motion,0.000000,-0.043576
0.013000,pre_motion,0.000000,-0.043576
0.014000,pre_motion,0.000000,-0.043576
0.015000,pre_motion,0.000000,-0.043576
0.016000,pre_motion,0.000000,-0.043576
0.017000,pre_motion,0.000000,-0.043576
0.018000,pre_motion,0.000000,-0.043576
0.019000,pre_motion,0.000000,-0.043576
0.020000,pre_motion,0.000000,-0.043576
0.021000,pre_motion,0.000000,-0.043576
0.022000,pre_motion,0.000000,-0.043576
0.023000,pre_motion,0.000000,-0.043576
0.024000,pre_motion,0.000000,-0.043576
0.025000,pre_motion,0.000000,-0.043576
0.026000,pre_motion,0.000000,-0.043576
0.027000,pre_motion,0.000000,-0.043576
0.028000,pre_motion,0.000000,-0.043576
0.029000,pre_motion,0.000000,-0.043576
0.030000,pre_motion,0.000000,-0.043576
0.031000,pre_motion,0.000000,-0.043576
0.032000,pre_motion,0.000000,-0.043576
0.033000,pre_motion,0.000000,-0.043576
0.034000,pre_motion,0.000000,-0.043576
0.035000,pre_motion,0.000000,-0.043576
0.036000,pre_motion,0.000000,-0.043576
0.037000,pre_motion,0.000000,-0.043576
0.038000,pre_motion,0.000000,-0.043576
0.039000,pre_motion,0.000000,-0.043576
0.040000,pre_motion,0.000000,-0.043576
0.041000,pre_motion,0.000000,-0.043576
0.042000,pre_motion,0.000000,-0.043576
0.043000,pre_motion,0.000000,-0.043576
0.044000,pre_motion,0.000000,-0.043576
0.045000,pre_motion,0.000000,-0.043576
0.046000,pre_motion,0.000000,-0.043576
0.047000,pre_motion,0.000000,-0.043576
0.048000,pre_motion,0.000000,-0.043576
0.049000,pre_motion,0.000000,-0.043576
0.050000,pre_motion,0.000000,-0.043576
0.051000,pre_motion,0.000000,-0.043576
0.052000,pre_motion,0.000000,-0.043576
0.053000,pre_motion,0.000000,-0.043576
0.054000,pre_motion,0.000000,-0.043576
0.055000,pre_motion,0.000000,-0.043576
0.056000,pre_motion,0.000000,-0.043576
0.057000,pre_motion,0.000000,-0.043576
0.058000,pre_motion,0.000000,-0.043576
0.059000,pre_motion,0.000000,-0.043576
0.060000,pre_motion,0.000000,-0.043576
0.061000,pre_motion,0.000000,-0.043576
0.062000,pre_motion,0.000000,-0.043576
0.063000,pre_motion,0.000000,-0.043576
0.064000,pre_motion,0.000000,-0.043576
0.065000,pre_motion,0.000000,-0.043576
0.066000,pre_motion,0.000000,-0.043576
0.067000,pre_motion,0.000000,-0.043576
0.068000,pre_motion,0.000000,-0.043576
0.069000,pre_motion,0.000000,-0.043576
0.070000,pre_motion,0.000000,-0.043576
0.071000,pre_motion,0.000000,-0.043576
0.072000,pre_motion,0.000000,-0.043576
0.073000,pre_motion,0.000000,-0.043576
