#t_s,e_des_um
0.000000,6.506193
0.001000,6.308094
0.002000,6.109994
0.003000,5.911895
0.004000,5.713796
0.005000,5.515697
0.006000,5.317597
0.007000,5.119498
0.008000,4.921399
0.009000,4.723299
0.010000,4.525200
0.011000,4.327101
0.012000,4.129001
0.013000,3.930902
0.014000,3.732803
0.015000,3.534704
0.016000,3.479396
0.017000,3.443037
0.018000,3.406678
0.019000,3.370320
0.020000,3.333961
0.021000,3.297602
0.022000,3.261244
0.023000,3.131304
0.024000,2.806351
0.025000,2.481397
0.026000,2.156444
0.027000,1.831490
0.028000,1.506537
0.029000,1.181583
0.030000,0.856630
0.031000,0.848249
0.032000,0.936746
0.033000,1.025243
0.034000,1.113739
0.035000,1.202236
0.036000,1.290733
0.037000,1.379230
0.038000,1.420320
0.039000,1.279916
0.040000,1.139512
0.041000,0.999108
0.042000,0.858704
0.043000,0.718300
0.044000,0.577896
0.045000,0.437492
0.046000,0.445943
0.047000,0.535068
0.048000,0.624192
0.049000,0.713316
0.050000,0.802441
0.051000,0.891565
0.052000,0.980689
0.053000,1.060163
0.054000,1.042002
0.055000,1.023841
0.056000,1.005679
0.057000,0.987518
0.058000,0.969357
0.059000,0.951195
0.060000,0.933034
0.061000,0.847081
0.062000,0.701340
0.063000,0.555599
0.064000,0.409858
0.065000,0.264117
0.066000,0.118377
0.067000,-0.027364
0.068000,-0.173105
0.069000,-0.131472
0.070000,-0.084597
0.071000,-0.037723
0.072000,0.009152
0.073000,0.056026
0.074000,0.102901
0.075000,0.149775
0.076000,0.121856
0.077000,-0.011838
0.078000,-0.145532
0.079000,-0.279227
0.080000,-0.412921
0.081000,-0.546615
0.082000,-0.680309
0.083000,-0.814004
0.084000,-0.912018
0.085000,-1.004012
0.086000,-1.096006
0.087000,-1.188000
0.088000,-1.279994
0.089000,-1.371988
0.090000,-1.463983
0.091000,-1.527381
0.092000,-1.523111
0.093000,-1.518841
0.094000,-1.514571
0.095000,-1.510300
0.096000,-1.506030
0.097000,-1.501760
0.098000,-1.497490
0.099000,-1.644830
0.100000,-1.845862
0.101000,-2.046894
0.102000,-2.247926
0.103000,-2.448958
0.104000,-2.649990
0.105000,-2.851022
0.106000,-3.006560
0.107000,-2.954702
0.108000,-2.902845
0.109000,-2.850988
0.110000,-2.799130
0.111000,-2.747273
0.112000,-2.695415
0.113000,-2.643558
0.114000,-2.469466
0.115000,-2.220874
0.116000,-1.972281
0.117000,-1.723689
0.118000,-1.475097
0.119000,-1.226505
0.120000,-0.977913
0.121000,-0.740240
0.122000,-0.665688
0.123000,-0.591136
0.124000,-0.516584
0.125000,-0.442033
0.126000,-0.367481
0.127000,-0.292929
0.128000,-0.218378
0.129000,-0.166405
0.130000,-0.136639
0.131000,-0.106873
0.132000,-0.077107
0.133000,-0.047341
0.134000,-0.017575
0.135000,0.012191
0.136000,0.041956
0.137000,0.257692
0.138000,0.484130
0.139000,0.710568
0.140000,0.937007
0.141000,1.163445
0.142000,1.389883
0.143000,1.616321
0.144000,1.764528
0.145000,1.788818
0.146000,1.813109
0.147000,1.837399
0.148000,1.861690
0.149000,1.885981
0.150000,1.910271
0.151000,1.934562
0.152000,1.851116
0.153000,1.745357
0.154000,1.639598
0.155000,1.533838
0.156000,1.428079
0.157000,1.322320
0.158000,1.216561
0.159000,1.142545
0.160000,1.154422
0.161000,1.166298
0.162000,1.178175
0.163000,1.190051
0.164000,1.201928
0.165000,1.213804
0.166000,1.225681
0.167000,1.188552
0.168000,1.131531
0.169000,1.074509
0.170000,1.017488
0.171000,0.960466
0.172000,0.903444
0.173000,0.846423
0.174000,0.825911
0.175000,1.008004
0.176000,1.190097
0.177000,1.372190
0.178000,1.554283
0.179000,1.736376
0.180000,1.918469
0.181000,2.100561
0.182000,2.204225
0.183000,2.254305
0.184000,2.304385
0.185000,2.354465
0.186000,2.404545
0.187000,2.454626
0.188000,2.504706
0.189000,2.547142
0.190000,2.382065
0.191000,2.216987
0.192000,2.051910
0.193000,1.886833
0.194000,1.721756
0.195000,1.556679
0.196000,1.391602
0.197000,1.268869
0.198000,1.192572
0.199000,1.116275
0.200000,1.039978
0.201000,0.963681
0.202000,0.887384
0.203000,0.811087
0.204000,0.734790
0.205000,0.785185
0.206000,0.846840
0.207000,0.908495
0.208000,0.970150
0.209000,1.031806
0.210000,1.093461
0.211000,1.155116
0.212000,1.175111
0.213000,1.120976
0.214000,1.066840
0.215000,1.012705
0.216000,0.958570
0.217000,0.904435
0.218000,0.850300
0.219000,0.796164
0.220000,0.742029
0.221000,0.687894
0.222000,0.633759
0.223000,0.579624
0.224000,0.525488
0.225000,0.471353
0.226000,0.417218
0.227000,0.455096
0.228000,0.780183
0.229000,1.105270
0.230000,1.430358
0.231000,1.755445
0.232000,2.080533
0.233000,2.405620
0.234000,2.730707
0.235000,2.714955
0.236000,2.541780
0.237000,2.368605
0.238000,2.195430
0.239000,2.022255
0.240000,1.849081
0.241000,1.675906
0.242000,1.546455
0.243000,1.721743
0.244000,1.897030
0.245000,2.072318
0.246000,2.247605
0.247000,2.422893
0.248000,2.598181
0.249000,2.773468
0.250000,2.792437
0.251000,2.691981
0.252000,2.591525
0.253000,2.491069
0.254000,2.390613
0.255000,2.290157
0.256000,2.189702
0.257000,2.091534
0.258000,2.266130
0.259000,2.440725
0.260000,2.615321
0.261000,2.789917
0.262000,2.964512
0.263000,3.139108
0.264000,3.313704
0.265000,3.390282
0.266000,3.346936
0.267000,3.303590
0.268000,3.260245
0.269000,3.216899
0.270000,3.173553
0.271000,3.130207
0.272000,3.086861
0.273000,3.044329
0.274000,3.001895
0.275000,2.959461
0.276000,2.917028
0.277000,2.874594
0.278000,2.832160
0.279000,2.789727
0.280000,2.715071
0.281000,2.575754
0.282000,2.436437
0.283000,2.297120
0.284000,2.157803
0.285000,2.018485
0.286000,1.879168
0.287000,1.739851
0.288000,1.802888
0.289000,1.925007
0.290000,2.047127
0.291000,2.169247
0.292000,2.291366
0.293000,2.413486
0.294000,2.535606
0.295000,2.642599
0.296000,2.694500
0.297000,2.746401
0.298000,2.798302
0.299000,2.850204
0.300000,2.902105
0.301000,2.954006
0.302000,3.005907
0.303000,3.022054
0.304000,3.019520
0.305000,3.016987
0.306000,3.014454
0.307000,3.011921
0.308000,3.009388
0.309000,3.006855
0.310000,3.003297
0.311000,2.990341
0.312000,2.977385
0.313000,2.964429
0.314000,2.951473
0.315000,2.938517
0.316000,2.925560
0.317000,2.912604
0.318000,2.903408
0.319000,2.897418
0.320000,2.891428
0.321000,2.885439
0.322000,2.879449
0.323000,2.873460
0.324000,2.867470
0.325000,2.861480
0.326000,2.885841
0.327000,2.910785
0.328000,2.935730
0.329000,2.960675
0.330000,2.985619
0.331000,3.010564
0.332000,3.035509
0.333000,3.089775
0.334000,3.184115
0.335000,3.278455
0.336000,3.372796
0.337000,3.467136
0.338000,3.561476
0.339000,3.655816
0.340000,3.750156
0.341000,3.594906
0.342000,3.400352
0.343000,3.205798
0.344000,3.011244
0.345000,2.816691
0.346000,2.622137
0.347000,2.427583
0.348000,2.203161
0.349000,1.910797
0.350000,1.618434
0.351000,1.326071
0.352000,1.033707
0.353000,0.741344
0.354000,0.448980
0.355000,0.156617
0.356000,-0.017257
0.357000,-0.150955
0.358000,-0.284654
0.359000,-0.418353
0.360000,-0.552052
0.361000,-0.685751
0.362000,-0.819449
0.363000,-0.928703
0.364000,-0.932524
0.365000,-0.936346
0.366000,-0.940167
0.367000,-0.943989
0.368000,-0.947810
0.369000,-0.951632
0.370000,-0.955453
0.371000,-0.912569
0.372000,-0.842211
0.373000,-0.771853
0.374000,-0.701495
0.375000,-0.631138
0.376000,-0.560780
0.377000,-0.490422
0.378000,-0.423774
0.379000,-0.405623
0.380000,-0.387471
0.381000,-0.369320
0.382000,-0.351169
0.383000,-0.333017
0.384000,-0.314866
0.385000,-0.296714
0.386000,-0.271434
0.387000,-0.239371
0.388000,-0.207308
0.389000,-0.175246
0.390000,-0.143183
0.391000,-0.111120
0.392000,-0.079057
0.393000,-0.046995
0.394000,-0.056058
0.395000,-0.067109
0.396000,-0.078160
0.397000,-0.089210
0.398000,-0.100261
0.399000,-0.111312
0.400000,-0.122363
0.401000,-0.174065
0.402000,-0.287947
0.403000,-0.401829
0.404000,-0.515711
0.405000,-0.629593
0.406000,-0.743475
0.407000,-0.857357
0.408000,-0.971239
0.409000,-1.088083
0.410000,-1.205504
0.411000,-1.322926
0.412000,-1.440348
0.413000,-1.557770
0.414000,-1.675191
0.415000,-1.792613
0.416000,-1.878876
0.417000,-1.884283
0.418000,-1.889690
0.419000,-1.895097
0.420000,-1.900504
0.421000,-1.905911
0.422000,-1.911318
0.423000,-1.916724
0.424000,-1.892757
0.425000,-1.857343
0.426000,-1.821929
0.427000,-1.786515
0.428000,-1.751101
0.429000,-1.715687
0.430000,-1.680273
0.431000,-1.644859
0.432000,-1.609445
0.433000,-1.574031
0.434000,-1.538617
0.435000,-1.503203
0.436000,-1.467788
0.437000,-1.432374
0.438000,-1.396960
0.439000,-1.283967
0.440000,-1.119776
0.441000,-0.955584
0.442000,-0.791393
0.443000,-0.627201
0.444000,-0.463010
0.445000,-0.298818
0.446000,-0.135509
0.447000,0.008560
0.448000,0.152629
0.449000,0.296698
0.450000,0.440767
0.451000,0.584836
0.452000,0.728905
0.453000,0.872974
0.454000,0.972878
0.455000,1.025936
0.456000,1.078993
0.457000,1.132051
0.458000,1.185109
0.459000,1.238167
0.460000,1.291224
0.461000,1.344282
0.462000,1.359158
0.463000,1.371014
0.464000,1.382870
0.465000,1.394726
0.466000,1.406582
0.467000,1.418437
0.468000,1.430293
0.469000,1.377321
0.470000,1.213068
0.471000,1.048816
0.472000,0.884563
0.473000,0.720310
0.474000,0.556057
0.475000,0.391805
0.476000,0.227552
0.477000,0.072179
0.478000,-0.081105
0.479000,-0.234389
0.480000,-0.387674
0.481000,-0.540958
0.482000,-0.694242
0.483000,-0.847526
0.484000,-0.928524
0.485000,-0.793764
0.486000,-0.659004
0.487000,-0.524245
0.488000,-0.389485
0.489000,-0.254726
0.490000,-0.119966
0.491000,0.014794
0.492000,-0.006007
0.493000,-0.095924
0.494000,-0.185841
0.495000,-0.275758
0.496000,-0.365674
0.497000,-0.455591
0.498000,-0.545508
0.499000,-0.622587
0.500000,-0.616560
0.501000,-0.610533
0.502000,-0.604506
0.503000,-0.598479
0.504000,-0.592452
0.505000,-0.586425
0.506000,-0.580398
0.507000,-0.597828
0.508000,-0.632579
0.509000,-0.667331
0.510000,-0.702083
0.511000,-0.736834
0.512000,-0.771586
0.513000,-0.806338
0.514000,-0.838464
0.515000,-0.715484
0.516000,-0.592504
