#t_s,Fd_N
0.000000,2.088810
0.001000,2.268764
0.002000,2.433368
0.003000,2.579608
0.004000,2.704842
0.005000,2.806873
0.006000,2.883997
0.007000,2.935052
0.008000,2.959442
0.009000,2.957150
0.010000,2.928738
0.011000,2.875322
0.012000,2.798543
0.013000,2.700510
0.014000,2.583744
0.015000,2.451096
0.016000,2.305665
0.017000,2.150703
0.018000,1.989523
0.019000,1.825397
0.020000,1.661463
0.021000,1.500638
0.022000,1.345534
0.023000,1.198395
0.024000,1.061037
0.025000,0.934817
0.026000,0.820609
0.027000,0.718804
0.028000,0.629329
0.029000,0.551677
0.030000,0.484961
0.031000,0.427977
0.032000,0.379273
0.033000,0.337239
0.034000,0.300181
0.035000,0.266412
0.036000,0.234330
0.037000,0.202488
0.038000,0.169656
0.039000,0.134870
0.040000,0.097461
0.041000,0.057073
0.042000,0.013661
0.043000,-0.032526
0.044000,-0.080976
0.045000,-0.130960
0.046000,-0.181584
0.047000,-0.231851
0.048000,-0.280727
0.049000,-0.327200
0.050000,-0.370341
0.051000,-0.409360
0.052000,-0.443644
0.053000,-0.472789
0.054000,-0.496622
0.055000,-0.515197
0.056000,-0.528792
0.057000,-0.537887
0.058000,-0.543125
0.059000,-0.545277
0.060000,-0.545189
0.061000,-0.543737
0.062000,-0.541773
0.063000,-0.540079
0.064000,-0.539329
0.065000,-0.540051
0.066000,-0.542609
0.067000,-0.547188
0.068000,-0.553796
0.069000,-0.562274
0.070000,-0.572317
0.071000,-0.583504
0.072000,-0.595329
0.073000,-0.607248
0.074000,-0.618713
0.075000,-0.629213
0.076000,-0.638309
0.077000,-0.645663
0.078000,-0.651055
0.079000,-0.654401
0.080000,-0.655744
0.081000,-0.655256
0.082000,-0.653213
0.083000,-0.649973
0.084000,-0.645945
0.085000,-0.641551
0.086000,-0.637195
0.087000,-0.633224
0.088000,-0.629900
0.089000,-0.627374
0.090000,-0.625666
0.091000,-0.624665
0.092000,-0.624120
0.093000,-0.623661
0.094000,-0.622815
0.095000,-0.621035
0.096000,-0.617737
0.097000,-0.612340
0.098000,-0.604303
0.099000,-0.593171
0.100000,-0.578609
0.101000,-0.560431
0.102000,-0.538627
0.103000,-0.513372
0.104000,-0.485032
0.105000,-0.454154
0.106000,-0.421443
0.107000,-0.387740
0.108000,-0.353975
0.109000,-0.321128
0.110000,-0.290179
0.111000,-0.262054
0.112000,-0.237582
0.113000,-0.217447
0.114000,-0.202148
0.115000,-0.191977
0.116000,-0.186994
0.117000,-0.187025
0.118000,-0.191667
0.119000,-0.200306
0.120000,-0.212150
0.121000,-0.226264
0.122000,-0.241621
0.123000,-0.257154
0.124000,-0.271811
0.125000,-0.284611
0.126000,-0.294695
0.127000,-0.301370
0.128000,-0.304149
0.129000,-0.302777
0.130000,-0.297243
0.131000,-0.287785
0.132000,-0.274877
0.133000,-0.259206
0.134000,-0.241636
0.135000,-0.223167
0.136000,-0.204880
0.137000,-0.187881
0.138000,-0.173245
0.139000,-0.161958
0.140000,-0.154861
0.141000,-0.152610
0.142000,-0.155632
0.143000,-0.164099
0.144000,-0.177918
0.145000,-0.196726
0.146000,-0.219900
0.147000,-0.246586
0.148000,-0.275728
0.149000,-0.306119
0.150000,-0.336453
0.151000,-0.365379
0.152000,-0.391569
0.153000,-0.413772
0.154000,-0.430875
0.155000,-0.441956
0.156000,-0.446323
0.157000,-0.443554
0.158000,-0.433514
0.159000,-0.416366
0.160000,-0.392568
0.161000,-0.362857
0.162000,-0.328218
0.163000,-0.289843
0.164000,-0.249089
0.165000,-0.207413
0.166000,-0.166318
0.167000,-0.127285
0.168000,-0.091718
0.169000,-0.060877
0.170000,-0.035834
0.171000,-0.017424
0.172000,-0.006211
0.173000,-0.002470
0.174000,-0.006172
0.175000,-0.016991
0.176000,-0.034320
0.177000,-0.057298
0.178000,-0.084849
0.179000,-0.115731
0.180000,-0.148590
0.181000,-0.182020
0.182000,-0.214624
0.183000,-0.245073
0.184000,-0.272164
0.185000,-0.294868
0.186000,-0.312372
0.187000,-0.324115
0.188000,-0.329801
0.189000,-0.329408
0.190000,-0.323187
0.191000,-0.311637
0.192000,-0.295483
0.193000,-0.275630
0.194000,-0.253117
0.195000,-0.229067
0.196000,-0.204627
0.197000,-0.180911
0.198000,-0.158948
0.199000,-0.139630
0.200000,-0.123669
0.201000,-0.111568
0.202000,-0.103597
0.203000,-0.099781
0.204000,-0.099907
0.205000,-0.103540
0.206000,-0.110044
0.207000,-0.118624
0.208000,-0.128370
0.209000,-0.138307
0.210000,-0.147451
0.211000,-0.154859
0.212000,-0.159689
0.213000,-0.161239
0.214000,-0.158992
0.215000,-0.152644
0.216000,-0.142123
0.217000,-0.127592
0.218000,-0.109450
0.219000,-0.088307
0.220000,-0.064956
0.221000,-0.040335
0.222000,-0.015478
0.223000,0.008540
0.224000,0.030654
0.225000,0.049870
0.226000,0.065312
0.227000,0.076272
0.228000,0.082248
0.229000,0.082972
0.230000,0.078423
0.231000,0.068837
0.232000,0.054693
0.233000,0.036690
0.234000,0.015721
0.235000,-0.007177
0.236000,-0.030869
0.237000,-0.054179
