t_s,phase,nominal_along_mm,e_raw_um,b_um,e_vib_um
0.000000,pre_motion,0.000000,6.462617,-0.043576,6.506193
0.001000,pre_motion,0.000000,6.264517,-0.043576,6.308094
0.002000,pre_motion,0.000000,6.066418,-0.043576,6.109994
0.003000,pre_motion,0.000000,5.868319,-0.043576,5.911895
0.004000,pre_motion,0.000000,5.670220,-0.043576,5.713796
0.005000,pre_motion,0.000000,5.472120,-0.043576,5.515697
0.006000,pre_motion,0.000000,5.274021,-0.043576,5.317597
0.007000,pre_motion,0.000000,5.075922,-0.043576,5.119498
0.008000,pre_motion,0.000000,4.877822,-0.043576,4.921399
0.009000,pre_motion,0.000000,4.679723,-0.043576,4.723299
0.010000,pre_motion,0.000000,4.481624,-0.043576,4.525200
0.011000,pre_motion,0.000000,4.283524,-0.043576,4.327101
0.012000,pre_motion,0.000000,4.085425,-0.043576,4.129001
0.013000,pre_motion,0.000000,3.887326,-0.043576,3.930902
0.014000,pre_motion,0.000000,3.689227,-0.043576,3.732803
0.015000,pre_motion,0.000000,3.491127,-0.043576,3.534704
0.016000,pre_motion,0.000000,3.435819,-0.043576,3.479396
0.017000,pre_motion,0.000000,3.399461,-0.043576,3.443037
0.018000,pre_motion,0.000000,3.363102,-0.043576,3.406678
0.019000,pre_motion,0.000000,3.326743,-0.043576,3.370320
0.020000,pre_motion,0.000000,3.290385,-0.043576,3.333961
0.021000,pre_motion,0.000000,3.254026,-0.043576,3.297602
0.022000,pre_motion,0.000000,3.217667,-0.043576,3.261244
0.023000,pre_motion,0.000000,3.087728,-0.043576,3.131304
0.024000,pre_motion,0.000000,2.762774,-0.043576,2.806351
0.025000,pre_motion,0.000000,2.437821,-0.043576,2.481397
0.026000,pre_motion,0.000000,2.112867,-0.043576,2.156444
0.027000,pre_motion,0.000000,1.787914,-0.043576,1.831490
0.028000,pre_motion,0.000000,1.462960,-0.043576,1.506537
0.029000,pre_motion,0.000000,1.138007,-0.043576,1.181583
0.030000,pre_motion,0.000000,0.813053,-0.043576,0.856630
0.031000,pre_motion,0.000000,0.804672,-0.043576,0.848249
0.032000,pre_motion,0.000000,0.893169,-0.043576,0.936746
0.033000,pre_motion,0.000000,0.981666,-0.043576,1.025243
0.034000,pre_motion,0.000000,1.070163,-0.043576,1.113739
0.035000,pre_motion,0.000000,1.158660,-0.043576,1.202236
0.036000,pre_motion,0.000000,1.247157,-0.043576,1.290733
0.037000,pre_motion,0.000000,1.335654,-0.043576,1.379230
0.038000,pre_motion,0.000000,1.376744,-0.043576,1.420320
0.039000,pre_motion,0.000000,1.236340,-0.043576,1.279916
0.040000,pre_motion,0.000000,1.095936,-0.043576,1.139512
0.041000,pre_motion,0.000000,0.955532,-0.043576,0.999108
0.042000,pre_motion,0.000000,0.815128,-0.043576,0.858704
0.043000,pre_motion,0.000000,0.674724,-0.043576,0.718300
0.044000,pre_motion,0.000000,0.534320,-0.043576,0.577896
0.045000,pre_motion,0.000000,0.393916,-0.043576,0.437492
0.046000,pre_motion,0.000000,0.402367,-0.043576,0.445943
0.047000,pre_motion,0.000000,0.491491,-0.043576,0.535068
0.048000,pre_motion,0.000000,0.580616,-0.043576,0.624192
0.049000,pre_motion,0.000000,0.669740,-0.043576,0.713316
0.050000,pre_motion,0.000000,0.758864,-0.043576,0.802441
0.051000,pre_motion,0.000000,0.847989,-0.043576,0.891565
0.052000,pre_motion,0.000000,0.937113,-0.043576,0.980689
0.053000,pre_motion,0.000000,1.016587,-0.043576,1.060163
0.054000,pre_motion,0.000000,0.998426,-0.043576,1.042002
0.055000,pre_motion,0.000000,0.980264,-0.043576,1.023841
0.056000,pre_motion,0.000000,0.962103,-0.043576,1.005679
0.057000,pre_motion,0.000000,0.943942,-0.043576,0.987518
0.058000,pre_motion,0.000000,0.925781,-0.043576,0.969357
0.059000,pre_motion,0.000000,0.907619,-0.043576,0.951195
0.060000,pre_motion,0.000000,0.889458,-0.043576,0.933034
0.061000,pre_motion,0.000000,0.803505,-0.043576,0.847081
0.062000,pre_motion,0.000000,0.657764,-0.043576,0.701340
0.063000,pre_motion,0.000000,0.512023,-0.043576,0.555599
0.064000,pre_motion,0.000000,0.366282,-0.043576,0.409858
0.065000,pre_motion,0.000000,0.220541,-0.043576,0.264117
0.066000,pre_motion,0.000000,0.074800,-0.043576,0.118377
0.067000,pre_motion,0.000000,-0.070941,-0.043576,-0.027364
0.068000,pre_motion,0.000000,-0.216681,-0.043576,-0.173105
0.069000,pre_motion,0.000000,-0.175048,-0.043576,-0.131472
0.070000,pre_motion,0.000000,-0.128173,-0.043576,-0.084597
0.071000,pre_motion,0.000000,-0.081299,-0.043576,-0.037723
0.072000,pre_motion,0.000000,-0.034424,-0.043576,0.009152
0.073000,pre_motion,0.000000,0.012450,-0.043576,0.056026
0.074000,pre_motion,0.000000,0.059325,-0.043576,0.102901
0.075000,pre_motion,0.000000,0.106199,-0.043576,0.149775
0.076000,pre_motion,0.000000,0.078280,-0.043576,0.121856
0.077000,pre_motion,0.000000,-0.055414,-0.043576,-0.011838
0.078000,pre_motion,0.000000,-0.189109,-0.043576,-0.145532
0.079000,pre_motion,0.000000,-0.322803,-0.043576,-0.279227
0.080000,pre_motion,0.000000,-0.456497,-0.043576,-0.412921
0.081000,pre_motion,0.000000,-0.590191,-0.043576,-0.546615
0.082000,pre_motion,0.000000,-0.723886,-0.043576,-0.680309
0.083000,pre_motion,0.000000,-0.857580,-0.043576,-0.814004
0.084000,pre_motion,0.000000,-0.955594,-0.043576,-0.912018
0.085000,pre_motion,0.000000,-1.047588,-0.043576,-1.004012
0.086000,pre_motion,0.000000,-1.139582,-0.043576,-1.096006
0.087000,pre_motion,0.000000,-1.231577,-0.043576,-1.188000
0.088000,pre_motion,0.000000,-1.323571,-0.043576,-1.279994
0.089000,pre_motion,0.000000,-1.415565,-0.043576,-1.371988
0.090000,pre_motion,0.000000,-1.507559,-0.043576,-1.463983
0.091000,pre_motion,0.000000,-1.570957,-0.043576,-1.527381
0.092000,pre_motion,0.000000,-1.566687,-0.043576,-1.523111
0.093000,pre_motion,0.000000,-1.562417,-0.043576,-1.518841
0.094000,pre_motion,0.000000,-1.558147,-0.043576,-1.514571
0.095000,pre_motion,0.000000,-1.553877,-0.043576,-1.510300
0.096000,pre_motion,0.000000,-1.549606,-0.043576,-1.506030
0.097000,pre_motion,0.000000,-1.545336,-0.043576,-1.501760
0.098000,pre_motion,0.000000,-1.541066,-0.043576,-1.497490
0.099000,pre_motion,0.000000,-1.688407,-0.043576,-1.644830
0.100000,pre_motion,0.000000,-1.889438,-0.043576,-1.845862
0.101000,pre_motion,0.000000,-2.090470,-0.043576,-2.046894
0.102000,pre_motion,0.000000,-2.291502,-0.043576,-2.247926
0.103000,pre_motion,0.000000,-2.492534,-0.043576,-2.448958
0.104000,pre_motion,0.000000,-2.693566,-0.043576,-2.649990
0.105000,pre_motion,0.000000,-2.894598,-0.043576,-2.851022
0.106000,pre_motion,0.000000,-3.050136,-0.043576,-3.006560
0.107000,pre_motion,0.000000,-2.998279,-0.043576,-2.954702
0.108000,pre_motion,0.000000,-2.946421,-0.043576,-2.902845
0.109000,pre_motion,0.000000,-2.894564,-0.043576,-2.850988
0.110000,pre_motion,0.000000,-2.842706,-0.043576,-2.799130
0.111000,pre_motion,0.000000,-2.790849,-0.043576,-2.747273
0.112000,pre_motion,0.000000,-2.738992,-0.043576,-2.695415
0.113000,pre_motion,0.000000,-2.687134,-0.043576,-2.643558
0.114000,pre_motion,0.000000,-2.513042,-0.043576,-2.469466
0.115000,pre_motion,0.000000,-2.264450,-0.043576,-2.220874
0.116000,pre_motion,0.000000,-2.015858,-0.043576,-1.972281
0.117000,pre_motion,0.000000,-1.767265,-0.043576,-1.723689
0.118000,pre_motion,0.000000,-1.518673,-0.043576,-1.475097
0.119000,pre_motion,0.000000,-1.270081,-0.043576,-1.226505
0.120000,pre_motion,0.000000,-1.021489,-0.043576,-0.977913
0.121000,pre_motion,0.000000,-0.783816,-0.043576,-0.740240
0.122000,pre_motion,0.000000,-0.709264,-0.043576,-0.665688
0.123000,pre_motion,0.000000,-0.634712,-0.043576,-0.591136
0.124000,pre_motion,0.000000,-0.560161,-0.043576,-0.516584
0.125000,pre_motion,0.000000,-0.485609,-0.043576,-0.442033
0.126000,pre_motion,0.000000,-0.411057,-0.043576,-0.367481
0.127000,pre_motion,0.000000,-0.336506,-0.043576,-0.292929
0.128000,pre_motion,0.000000,-0.261954,-0.043576,-0.218378
0.129000,pre_motion,0.000000,-0.209981,-0.043576,-0.166405
0.130000,pre_motion,0.000000,-0.180215,-0.043576,-0.136639
0.131000,pre_motion,0.000000,-0.150449,-0.043576,-0.106873
