#t_s,e_raw_um
0.000000,6.462617
0.001000,6.264517
0.002000,6.066418
0.003000,5.868319
0.004000,5.670220
0.005000,5.472120
0.006000,5.274021
0.007000,5.075922
0.008000,4.877822
0.009000,4.679723
0.010000,4.481624
0.011000,4.283524
0.012000,4.085425
0.013000,3.887326
0.014000,3.689227
0.015000,3.491127
0.016000,3.435819
0.017000,3.399461
0.018000,3.363102
0.019000,3.326743
0.020000,3.290385
0.021000,3.254026
0.022000,3.217667
0.023000,3.087728
0.024000,2.762774
0.025000,2.437821
0.026000,2.112867
0.027000,1.787914
0.028000,1.462960
0.029000,1.138007
0.030000,0.813053
0.031000,0.804672
0.032000,0.893169
0.033000,0.981666
0.034000,1.070163
0.035000,1.158660
0.036000,1.247157
0.037000,1.335654
0.038000,1.376744
0.039000,1.236340
0.040000,1.095936
0.041000,0.955532
0.042000,0.815128
0.043000,0.674724
0.044000,0.534320
0.045000,0.393916
0.046000,0.402367
0.047000,0.491491
0.048000,0.580616
0.049000,0.669740
0.050000,0.758864
0.051000,0.847989
0.052000,0.937113
0.053000,1.016587
0.054000,0.998426
0.055000,0.980264
0.056000,0.962103
0.057000,0.943942
0.058000,0.925781
0.059000,0.907619
0.060000,0.889458
0.061000,0.803505
0.062000,0.657764
0.063000,0.512023
0.064000,0.366282
0.065000,0.220541
0.066000,0.074800
0.067000,-0.070941
0.068000,-0.216681
0.069000,-0.175048
0.070000,-0.128173
0.071000,-0.081299
0.072000,-0.034424
0.073000,0.012450
0.074000,0.059325
0.075000,0.106199
0.076000,0.078280
0.077000,-0.055414
0.078000,-0.189109
0.079000,-0.322803
0.080000,-0.456497
0.081000,-0.590191
0.082000,-0.723886
0.083000,-0.857580
0.084000,-0.955594
0.085000,-1.047588
0.086000,-1.139582
0.087000,-1.231577
0.088000,-1.323571
0.089000,-1.415565
0.090000,-1.507559
0.091000,-1.570957
0.092000,-1.566687
0.093000,-1.562417
0.094000,-1.558147
0.095000,-1.553877
0.096000,-1.549606
0.097000,-1.545336
0.098000,-1.541066
0.099000,-1.688407
0.100000,-1.889438
0.101000,-2.090470
0.102000,-2.291502
0.103000,-2.492534
0.104000,-2.693566
0.105000,-2.894598
0.106000,-3.050136
0.107000,-2.998279
0.108000,-2.946421
0.109000,-2.894564
0.110000,-2.842706
0.111000,-2.790849
0.112000,-2.738992
0.113000,-2.687134
0.114000,-2.513042
0.115000,-2.264450
0.116000,-2.015858
0.117000,-1.767265
0.118000,-1.518673
