t_s,phase,nominal_along_mm,e_vib_um
0.000000,pre_motion,0.000000,6.506193
0.001000,pre_motion,0.000000,6.308094
0.002000,pre_motion,0.000000,6.109994
0.003000,pre_motion,0.000000,5.911895
0.004000,pre_motion,0.000000,5.713796
0.005000,pre_motion,0.000000,5.515697
0.006000,pre_motion,0.000000,5.317597
0.007000,pre_motion,0.000000,5.119498
0.008000,pre_motion,0.000000,4.921399
0.009000,pre_motion,0.000000,4.723299
0.010000,pre_motion,0.000000,4.525200
0.011000,pre_motion,0.000000,4.327101
0.012000,pre_motion,0.000000,4.129001
0.013000,pre_motion,0.000000,3.930902
0.014000,pre_motion,0.000000,3.732803
0.015000,pre_motion,0.000000,3.534704
0.016000,pre_motion,0.000000,3.479396
0.017000,pre_motion,0.000000,3.443037
0.018000,pre_motion,0.000000,3.406678
0.019000,pre_motion,0.000000,3.370320
0.020000,pre_motion,0.000000,3.333961
0.021000,pre_motion,0.000000,3.297602
0.022000,pre_motion,0.000000,3.261244
0.023000,pre_motion,0.000000,3.131304
0.024000,pre_motion,0.000000,2.806351
0.025000,pre_motion,0.000000,2.481397
0.026000,pre_motion,0.000000,2.156444
0.027000,pre_motion,0.000000,1.831490
0.028000,pre_motion,0.000000,1.506537
0.029000,pre_motion,0.000000,1.181583
0.030000,pre_motion,0.000000,0.856630
0.031000,pre_motion,0.000000,0.848249
0.032000,pre_motion,0.000000,0.936746
0.033000,pre_motion,0.000000,1.025243
0.034000,pre_motion,0.000000,1.113739
0.035000,pre_motion,0.000000,1.202236
0.036000,pre_motion,0.000000,1.290733
0.037000,pre_motion,0.000000,1.379230
0.038000,pre_motion,0.000000,1.420320
0.039000,pre_motion,0.000000,1.279916
0.040000,pre_motion,0.000000,1.139512
0.041000,pre_motion,0.000000,0.999108
0.042000,pre_motion,0.000000,0.858704
0.043000,pre_motion,0.000000,0.718300
0.044000,pre_motion,0.000000,0.577896
0.045000,pre_motion,0.000000,0.437492
0.046000,pre_motion,0.000000,0.445943
0.047000,pre_motion,0.000000,0.535068
0.048000,pre_motion,0.000000,0.624192
0.049000,pre_motion,0.000000,0.713316
0.050000,pre_motion,0.000000,0.802441
0.051000,pre_motion,0.000000,0.891565
0.052000,pre_motion,0.000000,0.980689
0.053000,pre_motion,0.000000,1.060163
0.054000,pre_motion,0.000000,1.042002
0.055000,pre_motion,0.000000,1.023841
0.056000,pre_motion,0.000000,1.005679
0.057000,pre_motion,0.000000,0.987518
0.058000,pre_motion,0.000000,0.969357
0.059000,pre_motion,0.000000,0.951195
0.060000,pre_motion,0.000000,0.933034
0.061000,pre_motion,0.000000,0.847081
0.062000,pre_motion,0.000000,0.701340
0.063000,pre_motion,0.000000,0.555599
0.064000,pre_motion,0.000000,0.409858
0.065000,pre_motion,0.000000,0.264117
0.066000,pre_motion,0.000000,0.118377
0.067000,pre_motion,0.000000,-0.027364
0.068000,pre_motion,0.000000,-0.173105
0.069000,pre_motion,0.000000,-0.131472
0.070000,pre_motion,0.000000,-0.084597
0.071000,pre_motion,0.000000,-0.037723
0.072000,pre_motion,0.000000,0.009152
0.073000,pre_motion,0.000000,0.056026
0.074000,pre_motion,0.000000,0.102901
0.075000,pre_motion,0.000000,0.149775
0.076000,pre_motion,0.000000,0.121856
0.077000,pre_motion,0.000000,-0.011838
0.078000,pre_motion,0.000000,-0.145532
0.079000,pre_motion,0.000000,-0.279227
0.080000,pre_motion,0.000000,-0.412921
0.081000,pre_motion,0.000000,-0.546615
0.082000,pre_motion,0.000000,-0.680309
0.083000,pre_motion,0.000000,-0.814004
0.084000,pre_motion,0.000000,-0.912018
0.085000,pre_motion,0.000000,-1.004012
0.086000,pre_motion,0.000000,-1.096006
0.087000,pre_motion,0.000000,-1.188000
0.088000,pre_motion,0.000000,-1.279994
0.089000,pre_motion,0.000000,-1.371988
0.090000,pre_motion,0.000000,-1.463983
0.091000,pre_motion,0.000000,-1.527381
0.092000,pre_motion,0.000000,-1.523111
0.093000,pre_motion,0.000000,-1.518841
0.094000,pre_motion,0.000000,-1.514571
0.095000,pre_motion,0.000000,-1.510300
0.096000,pre_motion,0.000000,-1.506030
0.097000,pre_motion,0.000000,-1.501760
0.098000,pre_motion,0.000000,-1.497490
0.099000,pre_motion,0.000000,-1.644830
0.100000,pre_motion,0.000000,-1.845862
0.101000,pre_motion,0.000000,-2.046894
0.102000,pre_motion,0.000000,-2.247926
0.103000,pre_motion,0.000000,-2.448958
0.104000,pre_motion,0.000000,-2.649990
0.105000,pre_motion,0.000000,-2.851022
0.106000,pre_motion,0.000000,-3.006560
0.107000,pre_motion,0.000000,-2.954702
0.108000,pre_motion,0.000000,-2.902845
0.109000,pre_motion,0.000000,-2.850988
0.110000,pre_motion,0.000000,-2.799130
0.111000,pre_motion,0.000000,-2.747273
0.112000,pre_motion,0.000000,-2.695415
0.113000,pre_motion,0.000000,-2.643558
0.114000,pre_motion,0.000000,-2.469466
0.115000,pre_motion,0.000000,-2.220874
0.116000,pre_motion,0.000000,-1.972281
0.117000,pre_motion,0.000000,-1.723689
0.118000,pre_motion,0.000000,-1.475097
0.119000,pre_motion,0.000000,-1.226505
0.120000,pre_motion,0.000000,-0.977913
0.121000,pre_motion,0.000000,-0.740240
0.122000,pre_motion,0.000000,-0.665688
0.123000,pre_motion,0.000000,-0.591136
0.124000,pre_motion,0.000000,-0.516584
0.125000,pre_motion,0.000000,-0.442033
0.126000,pre_motion,0.000000,-0.367481
0.127000,pre_motion,0.000000,-0.292929
0.128000,pre_motion,0.000000,-0.218378
0.129000,pre_motion,0.000000,-0.166405
0.130000,pre_motion,0.000000,-0.136639
0.131000,pre_motion,0.000000,-0.106873
0.132000,pre_motion,0.000000,-0.077107
0.133000,pre_motion,0.000000,-0.047341
0.134000,pre_motion,0.000000,-0.017575
0.135000,pre_motion,0.000000,0.012191
0.136000,pre_motion,0.000000,0.041956
0.137000,pre_motion,0.000000,0.257692
0.138000,pre_motion,0.000000,0.484130
0.139000,pre_motion,0.000000,0.710568
0.140000,pre_motion,0.000000,0.937007
0.141000,pre_motion,0.000000,1.163445
0.142000,pre_motion,0.000000,1.389883
0.143000,pre_motion,0.000000,1.616321
0.144000,pre_motion,0.000000,1.764528
0.145000,pre_motion,0.000000,1.788818
0.146000,pre_motion,0.000000,1.813109
