event_id,case_id,event_t_s,t_peak_s,t_peak_rel_s,peak_abs_um,rise_rate_um_per_s,recover_s,overshoot_um
0,A0,1.49,1.725,0.485,100.302,205.347,nan,0
0,Alinear,1.49,1.725,0.485,69.6231,142.283,nan,0
0,ASFC_strong,1.49,1.725,0.485,56.7659,116.146,nan,0
1,A0,1.75,1.75,0.25,102.349,91.9188,0.075,23.5747
1,Alinear,1.75,1.75,0.25,70.5742,65.0964,0.07,20.3555
1,ASFC_strong,1.75,1.75,0.25,58.7601,63.2084,0.09,0
2,A0,3.245,3.245,0.25,33.0928,36.1892,0.035,22.5614
2,Alinear,3.245,3.245,0.25,23.5913,31.7584,0.015,16.2421
2,ASFC_strong,3.245,3.24,0.245,16.0351,19.9396,0.045,8.1352
3,A0,4.78,4.78,0.25,33.0524,29.1776,0.02,22.314
3,Alinear,4.78,4.78,0.25,23.8356,27.2016,0.015,16.8711
3,ASFC_strong,4.78,4.78,0.25,16.272,17.1188,0.04,8.17372
4,A0,7.85,7.85,0.25,32.976,25.5692,0.025,21.6429
4,Alinear,7.85,7.85,0.25,24.2831,25.0536,0.02,16.2494
4,ASFC_strong,7.85,7.85,0.25,16.9241,17.196,0.04,8.22682
5,A0,31.925,31.925,0.25,90.1816,360.64,0.095,0
5,Alinear,31.925,31.92,0.245,70.5631,283.069,0.095,0
5,ASFC_strong,31.925,31.92,0.245,59.515,231.043,0.24,0
6,A0,34.005,34.005,0.25,36.6755,139.447,0.035,14.518
6,Alinear,34.005,34.005,0.25,28.8123,109.683,0.035,12.3953
6,ASFC_strong,34.005,34.005,0.25,22.574,83.76,0.04,2.17255
7,A0,36.055,36.055,0.25,37.2198,138.566,0.04,14.7869
7,Alinear,36.055,36.055,0.25,29.0328,108.319,0.035,12.6875
7,ASFC_strong,36.055,36.055,0.25,22.5686,81.9797,0.04,2.03665
8,A0,38.105,38.105,0.25,38.4601,142.994,0.04,15.4298
8,Alinear,38.105,38.105,0.25,29.7552,110.802,0.035,12.9907
8,ASFC_strong,38.105,38.105,0.25,22.8853,83.3555,0.04,1.92424
9,A0,40.155,40.155,0.25,38.8558,147.162,0.04,15.9491
9,Alinear,40.155,40.155,0.25,29.8224,113.223,0.035,13.3789
9,ASFC_strong,40.155,40.155,0.25,22.8102,84.4196,0.04,2.08034
10,A0,42.205,42.205,0.25,39.3313,148.542,0.04,16.3621
10,Alinear,42.205,42.205,0.25,29.9551,113.369,0.035,13.6353
10,ASFC_strong,42.205,42.205,0.25,22.7258,84.0708,0.04,2.01736
11,A0,44.255,44.255,0.25,40.0458,151.591,0.04,16.7196
11,Alinear,44.255,44.255,0.25,30.2447,114.743,0.035,13.8584
11,ASFC_strong,44.255,44.255,0.25,22.6857,84.1608,0.04,1.99628
12,A0,46.305,46.305,0.25,40.7005,155.052,0.04,17.2213
12,Alinear,46.305,46.305,0.25,30.4929,116.489,0.035,14.2042
12,ASFC_strong,46.305,46.305,0.25,22.6702,84.8979,0.04,1.99878
13,A0,48.355,48.355,0.25,41.1378,157.612,0.04,17.6762
13,Alinear,48.355,48.355,0.25,30.5832,117.596,0.035,14.4899
13,ASFC_strong,48.355,48.355,0.25,22.602,85.2957,0.04,1.95692
14,A0,48.71,48.71,0.25,33.229,67.546,0.115,11.999
14,Alinear,48.71,48.71,0.25,25.0502,42.7228,0.105,9.81151
14,ASFC_strong,48.71,48.76,0.3,20.0011,65.2591,0.105,1.38741
15,A0,50.405,50.405,0.25,41.4604,158.559,0.04,18.0304
15,Alinear,50.405,50.405,0.25,30.5706,117.275,0.035,14.7036
15,ASFC_strong,50.405,50.405,0.25,22.3672,84.6055,0.04,1.98337
16,A0,50.81,50.81,0.25,33.6084,62.312,0.065,12.4721
16,Alinear,50.81,50.76,0.2,25.1192,52.078,0.105,10.1005
16,ASFC_strong,50.81,50.81,0.25,19.9999,72.0661,0.105,1.47331
17,A0,52.455,52.455,0.25,41.9198,161.743,0.04,18.5396
17,Alinear,52.455,52.455,0.25,30.6418,118.765,0.035,15.0069
17,ASFC_strong,52.455,52.455,0.25,22.3361,85.4753,0.04,1.9889
18,A0,52.86,52.86,0.25,33.8142,61.0984,0.065,12.814
18,Alinear,52.86,52.81,0.2,25.0657,50.294,0.105,10.3503
18,ASFC_strong,52.86,52.86,0.25,19.8777,71.5552,0.105,1.49481
19,A0,54.505,54.505,0.25,42.2363,163.406,0.04,18.9198
19,Alinear,54.505,54.505,0.25,30.6243,119.018,0.035,15.2474
19,ASFC_strong,54.505,54.505,0.25,22.1698,85.4074,0.04,1.9884
20,A0,54.91,54.91,0.25,34.0874,60.6704,0.065,13.2483
20,Alinear,54.91,54.86,0.2,25.0531,49.0285,0.105,10.6384
20,ASFC_strong,54.91,54.91,0.25,19.772,71.1344,0.105,1.5619
21,A0,55.885,55.885,0.25,33.5806,77.5644,0.045,16.8414
21,Alinear,55.885,55.885,0.25,24.2807,59.9135,0.02,13.0764
21,ASFC_strong,55.885,55.885,0.25,17.3257,49.6308,0.05,5.35599
22,A0,56.555,56.555,0.25,42.5721,165.063,0.04,19.2785
22,Alinear,56.555,56.555,0.25,30.6192,119.382,0.035,15.4341
22,ASFC_strong,56.555,56.555,0.25,21.9307,85.1801,0.04,1.989
23,A0,56.96,56.96,0.25,34.3815,60.412,0.065,13.631
23,Alinear,56.96,56.91,0.2,25.0019,47.839,0.105,10.836
23,ASFC_strong,56.96,56.96,0.25,19.5675,70.314,0.105,1.67858
24,A0,57.935,57.935,0.25,34.2062,78.1124,0.05,16.9316
24,Alinear,57.935,57.935,0.25,24.5233,59.9906,0.02,13.094
24,ASFC_strong,57.935,57.935,0.25,17.4625,49.9158,0.05,5.18863
25,A0,58.605,58.605,0.25,42.8346,166.697,0.04,19.5568
25,Alinear,58.605,58.605,0.25,30.5558,119.431,0.035,15.6186
25,ASFC_strong,58.605,58.605,0.25,21.6828,84.5187,0.04,2.04569
26,A0,59.01,59.01,0.25,34.5639,60.0284,0.06,13.9466
26,Alinear,59.01,58.96,0.2,24.9369,46.838,0.105,10.9686
26,ASFC_strong,59.01,59.01,0.25,19.4181,69.4896,0.105,1.68691
27,A0,59.985,59.985,0.25,34.7392,78.7844,0.05,16.9068
27,Alinear,59.985,59.985,0.25,24.6968,60.183,0.02,13.026
27,ASFC_strong,59.985,59.985,0.25,17.4657,49.7414,0.05,4.9706
28,A0,60.655,60.655,0.25,43.1137,168.311,0.04,20.0288
28,Alinear,60.655,60.655,0.25,30.513,119.692,0.035,15.8828
28,ASFC_strong,60.655,60.655,0.25,21.4308,84.2296,0.04,2.05622
29,A0,61.06,61.06,0.25,34.7226,58.7752,0.06,14.2733
29,Alinear,61.06,61.01,0.2,24.878,45.0215,0.105,11.1669
