phase,case_id,n,share_pct,rms_um,peak_abs_um,ptp_um,mean_um,median_um,slow_rms_um,vib_rms_um
start,A0,386,3.07056,35.5967,102.349,130.355,16.6646,1.26705,18.8289,3.69334
start,Alinear,386,3.07056,24.2756,70.5742,90.9297,11.2125,0.939636,12.8315,2.65489
start,ASFC_default,386,3.07056,23.7561,65.8417,81.7726,12.2984,1.34864,13.2701,2.33844
start,ASFC_medium,386,3.07056,22.935,63.4927,77.7374,11.9426,1.49212,12.7069,2.06744
start,ASFC_strong,386,3.07056,21.2209,58.7601,70.1965,11.1655,1.40234,11.5198,1.61944
fwd_steady,A0,5837,46.4323,14.6724,33.0928,65.8271,-1.34433,-0.720778,9.68857,10.9365
fwd_steady,Alinear,5837,46.4323,10.9552,24.3447,48.5098,-0.991721,-0.303038,7.011,8.32561
fwd_steady,ASFC_default,5837,46.4323,9.76531,24.3488,46.363,-1.28221,-0.937803,6.51391,7.06869
fwd_steady,ASFC_medium,5837,46.4323,8.982,23.4611,43.8133,-1.27707,-1.11522,6.29117,6.23246
fwd_steady,ASFC_strong,5837,46.4323,7.8164,23.5582,41.2817,-1.20194,-0.739568,5.89885,4.96563
turn,A0,213,1.69438,41.3329,90.1816,117.829,-22.2717,-15.4604,32.823,9.44564
turn,Alinear,213,1.69438,32.156,70.5631,92.8811,-17.2783,-12.2829,25.616,7.58934
turn,ASFC_default,213,1.69438,31.5176,68.4827,89.0966,-16.8729,-11.0296,24.9038,6.69826
turn,ASFC_medium,213,1.69438,30.4104,65.6015,85.0444,-16.37,-10.297,23.8163,6.06376
turn,ASFC_strong,213,1.69438,28.1379,59.515,76.7688,-15.3207,-8.77944,21.6404,5.01843
ret_steady,A0,5898,46.9175,15.1719,43.1137,77.8529,-2.3775,-1.98359,8.81066,11.068
ret_steady,Alinear,5898,46.9175,11.3181,30.6418,55.3386,-1.71659,-1.48793,6.37921,8.46426
ret_steady,ASFC_default,5898,46.9175,10.8535,29.1034,50.988,-2.9837,-2.6844,7.0125,6.96364
ret_steady,ASFC_medium,5898,46.9175,10.0677,26.7598,47.0666,-2.75965,-2.37848,6.66991,6.23716
ret_steady,ASFC_strong,5898,46.9175,8.89082,23.3267,40.7924,-2.58964,-2.00521,6.17578,5.00973
stop,A0,237,1.88529,8.7211,29.77,41.495,-1.09449,-0.494689,5.85799,3.18626
stop,Alinear,237,1.88529,6.1122,22.5722,30.7497,-0.714019,-0.00384658,3.97787,2.44698
stop,ASFC_default,237,1.88529,5.76069,16.678,24.7141,-0.721263,-0.431293,3.97064,2.28752
stop,ASFC_medium,237,1.88529,5.45324,14.862,22.4309,-0.711658,-0.682286,3.82441,2.00852
stop,ASFC_strong,237,1.88529,4.90522,11.9722,18.636,-0.785615,-1.38236,3.50748,1.54942
