case_id,group,mode,status,note,fd_scale,bias_um,K_N_per_m,B0_Ns_per_m,n,mu,r_design,r_actual,v_ref_m_s,e_rms_um,e_peak_abs_um,e_ptp_um,e_slow_rms_um,e_vib_rms_um,suppress_vs_A0_pct,extra_vs_Alinear_pct,suppress_vib_vs_A0_pct,extra_vib_vs_Alinear_pct,F_shear_rms_N,F_linear_rms_N,F_shear_over_linear,F_SFC_peak_N,tau_max_norm_Nm,clip_applied,frac_absF_gt_10N,P_shear_pos_frac,P_linear_pos_frac,E_shear_J,E_linear_J,psd_peak_hz,psd_peak_amp_um2_per_hz,n_steps_done,n_steps_total,fd_sha256_12,trace_file
A0,baseline,A0,OK,,1,0,5000,400,3,0,0,nan,nan,16.6507,102.349,192.53,11.1084,11.0711,0,-34.9902,0,-31.2402,0,0,nan,0,0,False,0,0,0,0,0,0.5,124.627,62853,62853,58858d990d4f,traces/A0.csv
Alinear,baseline,Alinear,OK,,1,0,5000,400,1,0,0,0,0.00066799,12.3347,70.5742,141.137,8.06065,8.43575,25.9206,0,23.8038,0,0,0.193381,0,1.13142,0.790722,False,0,0,0,0,-0.00587617,0.5,64.6368,62853,62853,58858d990d4f,traces/Alinear.csv
ASFC_default,main,ASFC,OK,,1,0,5000,400,3,8.96436e+08,1,1,0.00066799,11.5902,68.4827,134.324,8.0738,7.03512,30.3923,6.03636,36.4551,16.6035,0.201646,0.160752,1.2544,3.17671,2.22019,False,0,0,0,-0.00399569,-0.00406047,0.5,73.5084,62853,62853,58858d990d4f,traces/ASFC_default.csv
ASFC_medium,main,ASFC,OK,,1,0,5000,400,2,1.19762e+06,2,2,0.00066799,10.835,65.6015,129.094,7.75636,6.25497,34.9277,12.1588,43.5018,25.8517,0.266142,0.144713,1.83911,3.12374,2.18315,False,0,0,0,-0.00555713,-0.00329064,0.5,68.0721,62853,62853,58858d990d4f,traces/ASFC_medium.csv
ASFC_strong,main,ASFC,OK,,1,0,5000,400,1.5,61906.3,4,4,0.00066799,9.65149,59.515,118.275,7.20367,5.00695,42.0355,21.7536,54.7746,40.6461,0.393541,0.11781,3.34045,3.33897,2.33358,False,0,0,0,-0.0071026,-0.00218089,0.5,59.9124,62853,62853,58858d990d4f,traces/ASFC_strong.csv
s0.50_Alinear,testA_scale,Alinear,OK,,0.5,0,5000,400,1,0,0,0,0.00066799,6.54141,38.2052,73.6765,4.09436,4.21702,60.7139,46.9676,61.9097,50.0102,0,0.0977513,0,0.923476,0.644789,False,0,0,0,0,-0.00150145,0.5,16.6426,62853,62853,58858d990d4f,traces/s0.50_Alinear.csv
s0.50_ASFC_strong,testA_scale,ASFC,OK,,0.5,0,5000,400,1.5,61906.3,4,4,0.00066799,5.45489,34.1037,65.0458,3.76155,2.78847,67.2392,55.7762,74.8131,66.9446,0.16675,0.065785,2.53478,2.64939,1.84982,False,0,0,0,-0.00167417,-0.000680017,0.5,15.9038,62853,62853,58858d990d4f,traces/s0.50_ASFC_strong.csv
s1.50_Alinear,testA_scale,Alinear,OK,,1.5,0,5000,400,1,0,0,0,0.00066799,18.3107,105.678,208.598,12.0306,12.657,-9.9699,-48.4486,-14.3247,-50.04,0,0.289796,0,1.69811,1.18677,False,0,0,0,0,-0.0131962,0.5,144.054,62853,62853,58858d990d4f,traces/s1.50_Alinear.csv
s1.50_ASFC_strong,testA_scale,ASFC,OK,,1.5,0,5000,400,1.5,61906.3,4,4,0.00066799,13.7762,85.2672,168.655,10.5343,6.99745,17.2634,-11.6864,36.7953,17.0501,0.648205,0.164859,3.93187,5.21878,3.64742,False,0,0,0,-0.0163835,-0.00427064,0.5,130.001,62853,62853,58858d990d4f,traces/s1.50_ASFC_strong.csv
ASFC_strong_bias-10,testB_bias,ASFC,OK,,1,-10,5000,400,1.5,61906.3,4,4,0.00066799,10.7115,65.5724,118.993,7.19833,5.00703,35.6695,13.1601,54.7739,40.6451,0.393582,0.117827,3.34033,3.30521,2.30999,False,0,0,0,-0.00710438,-0.00218151,0.5,59.7962,62853,62853,710c122ad40a,traces/ASFC_strong_bias-10.csv
ASFC_strong_bias-5,testB_bias,ASFC,OK,,1,-5,5000,400,1.5,61906.3,4,4,0.00066799,9.64987,62.1662,118.634,7.20095,5.00699,42.0452,21.7667,54.7742,40.6456,0.393551,0.117817,3.34035,3.32209,2.32179,False,0,0,0,-0.00710322,-0.00218114,0.5,59.8533,62853,62853,bf9599b9a304,traces/ASFC_strong_bias-5.csv
ASFC_strong_bias+5,testB_bias,ASFC,OK,,1,5,5000,400,1.5,61906.3,4,4,0.00066799,10.7158,62.5621,117.916,7.2065,5.00691,35.6432,13.1246,54.775,40.6466,0.393548,0.117807,3.34061,3.35585,2.34538,False,0,0,0,-0.0071025,-0.00218077,0.5,59.9736,62853,62853,ff17181e7a9c,traces/ASFC_strong_bias+5.csv
ASFC_strong_bias+10,testB_bias,ASFC,OK,,1,10,5000,400,1.5,61906.3,4,4,0.00066799,12.5759,65.6092,117.557,7.20944,5.00687,24.4719,-1.95556,54.7753,40.647,0.393571,0.117808,3.34079,3.37273,2.35717,False,0,0,0,-0.00710292,-0.00218078,0.5,60.0368,62853,62853,c6f4a5564863,traces/ASFC_strong_bias+10.csv
