# trace n_full=62853 stride=5 n_written=12571
# B0_Ns_per_m=400
# K_N_per_m=5000
# bias_um=0
# case_id=A0
# fd_scale=1
# fd_sha256=58858d990d4f36176992fea6e5590f4a8ab64bca1face89aaacc6ea25d261187
# mode=A0
# mu=0
# n=3
# n_steps_done=62853
# note=
# r_actual=nan
# r_design=0
# status=OK
# v_ref_m_s=nan
# units t=s phase=code along_mm=mm y_d=m y_sim=m e_um=um e_raw_um=um b_um=um e_vib_um=um v_m_s=m/s Fd_N=N F_spring_N=N F_linear_damping_N=N F_shear_N=N F_SFC_N=N tau_1=N*m tau_2=N*m tau_3=N*m tau_4=N*m tau_5=N*m tau_6=N*m
# phase_names=start,fwd_steady,turn,ret_steady,stop
t,phase,along_mm,y_d,y_sim,e_um,e_raw_um,b_um,e_vib_um,v_m_s,Fd_N,F_spring_N,F_linear_damping_N,F_shear_N,F_SFC_N,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
0,0,0,-0.174,-0.174,-2.77556e-11,6.46262,-0.043576,6.50619,0,2.08881,0,0,0,0,0,0,0,0,0,0
0.005,0,0,-0.174,-0.174002,-1.65022,5.47212,-0.043576,5.5157,-0.00108632,2.80687,0,0,0,0,0,0,0,0,0,0
0.01,0,0,-0.174,-0.174009,-8.63888,4.48162,-0.043576,4.5252,-0.00161012,2.92874,0,0,0,0,0,0,0,0,0,0
0.015,0,0,-0.174,-0.174016,-16.1802,3.49113,-0.043576,3.5347,-0.00127169,2.4511,0,0,0,0,0,0,0,0,0,0
0.02,0,0,-0.174,-0.174022,-21.5859,3.29039,-0.043576,3.33396,-0.000816233,1.66146,0,0,0,0,0,0,0,0,0,0
0.025,0,0,-0.174,-0.174025,-24.991,2.43782,-0.043576,2.4814,-0.000506902,0.934817,0,0,0,0,0,0,0,0,0,0
0.03,0,0,-0.174,-0.174027,-27.0644,0.813053,-0.043576,0.85663,-0.000280678,0.484961,0,0,0,0,0,0,0,0,0,0
0.035,0,0,-0.174,-0.174028,-28.0064,1.15866,-0.043576,1.20224,-4.54674e-05,0.266412,0,0,0,0,0,0,0,0,0,0
0.04,0,0,-0.174,-0.174028,-27.7577,1.09594,-0.043576,1.13951,0.000183823,0.097461,0,0,0,0,0,0,0,0,0,0
0.045,0,0,-0.174,-0.174026,-26.4991,0.393916,-0.043576,0.437492,0.000330948,-0.13096,0,0,0,0,0,0,0,0,0,0
0.05,0,0,-0.174,-0.174025,-24.7337,0.758864,-0.043576,0.802441,0.000366976,-0.370341,0,0,0,0,0,0,0,0,0,0
0.055,0,0,-0.174,-0.174023,-22.9352,0.980264,-0.043576,1.02384,0.000345508,-0.515197,0,0,0,0,0,0,0,0,0,0
0.06,0,0,-0.174,-0.174021,-21.2368,0.889458,-0.043576,0.933034,0.000337941,-0.545189,0,0,0,0,0,0,0,0,0,0
0.065,0,0,-0.174,-0.17402,-19.5101,0.220541,-0.043576,0.264117,0.000359388,-0.540051,0,0,0,0,0,0,0,0,0,0
0.07,0,0,-0.174,-0.174018,-17.6754,-0.128173,-0.043576,-0.084597,0.000372167,-0.572317,0,0,0,0,0,0,0,0,0,0
0.075,0,0,-0.174,-0.174016,-15.848,0.106199,-0.043576,0.149775,0.000348232,-0.629213,0,0,0,0,0,0,0,0,0,0
0.08,0,0,-0.174,-0.174014,-14.1944,-0.456497,-0.043576,-0.412921,0.000303853,-0.655744,0,0,0,0,0,0,0,0,0,0
0.085,0,0,-0.174,-0.174013,-12.7511,-1.04759,-0.043576,-1.00401,0.000269482,-0.641551,0,0,0,0,0,0,0,0,0,0
0.09,0,0,-0.174,-0.174011,-11.4482,-1.50756,-0.043576,-1.46398,0.000248154,-0.625666,0,0,0,0,0,0,0,0,0,0
0.095,0,0,-0.174,-0.17401,-10.2533,-1.55388,-0.043576,-1.5103,0.000223754,-0.621035,0,0,0,0,0,0,0,0,0,0
0.1,0,0,-0.174,-0.174009,-9.18488,-1.88944,-0.043576,-1.84586,0.000202064,-0.578609,0,0,0,0,0,0,0,0,0,0
0.105,0,0,-0.174,-0.174008,-8.16575,-2.8946,-0.043576,-2.85102,0.000217161,-0.454154,0,0,0,0,0,0,0,0,0,0
0.11,0,0,-0.174,-0.174007,-6.96166,-2.84271,-0.043576,-2.79913,0.000284886,-0.290179,0,0,0,0,0,0,0,0,0,0
0.115,0,0,-0.174,-0.174005,-5.36796,-2.26445,-0.043576,-2.22087,0.000365037,-0.191977,0,0,0,0,0,0,0,0,0,0
0.12,0,0,-0.174,-0.174003,-3.45841,-1.02149,-0.043576,-0.977913,0.000391599,-0.21215,0,0,0,0,0,0,0,0,0,0
0.125,0,0,-0.174,-0.174002,-1.57239,-0.485609,-0.043576,-0.442033,0.000343533,-0.284611,0,0,0,0,0,0,0,0,0,0
0.13,0,0,-0.174,-0.174,-0.00592853,-0.180215,-0.043576,-0.136639,0.000270445,-0.297243,0,0,0,0,0,0,0,0,0,0
0.135,0,0,-0.174,-0.173999,1.25627,-0.031386,-0.043576,0.012191,0.000236827,-0.223167,0,0,0,0,0,0,0,0,0,0
0.14,0,0,-0.174,-0.173998,2.45267,0.89343,-0.043576,0.937007,0.000247037,-0.154861,0,0,0,0,0,0,0,0,0,0
0.145,0,0,-0.174,-0.173996,3.6949,1.74524,-0.043576,1.78882,0.000239631,-0.196726,0,0,0,0,0,0,0,0,0,0
0.15,0,0,-0.174,-0.173995,4.76591,1.86669,-0.043576,1.91027,0.000160775,-0.336453,0,0,0,0,0,0,0,0,0,0
0.155,0,0,-0.174,-0.173995,5.32107,1.49026,-0.043576,1.53384,3.48662e-05,-0.441956,0,0,0,0,0,0,0,0,0,0
0.16,0,0,-0.174,-0.173995,5.29248,1.11085,-0.043576,1.15442,-4.88055e-05,-0.392568,0,0,0,0,0,0,0,0,0,0
0.165,0,0,-0.174,-0.173995,5.05303,1.17023,-0.043576,1.2138,-2.3569e-05,-0.207413,0,0,0,0,0,0,0,0,0,0
0.17,0,0,-0.174,-0.173995,5.13387,0.973911,-0.043576,1.01749,8.32009e-05,-0.035834,0,0,0,0,0,0,0,0,0,0
0.175,0,0,-0.174,-0.173994,5.75313,0.964427,-0.043576,1.008,0.000169988,-0.016991,0,0,0,0,0,0,0,0,0,0
0.18,0,0,-0.174,-0.173993,6.6188,1.87489,-0.043576,1.91847,0.000154699,-0.14859,0,0,0,0,0,0,0,0,0,0
0.185,0,0,-0.174,-0.173993,7.20305,2.31089,-0.043576,2.35446,4.96287e-05,-0.294868,0,0,0,0,0,0,0,0,0,0
0.19,0,0,-0.174,-0.173993,7.22081,2.33849,-0.043576,2.38206,-5.55647e-05,-0.323187,0,0,0,0,0,0,0,0,0,0
0.195,0,0,-0.174,-0.173993,6.8504,1.5131,-0.043576,1.55668,-8.34454e-05,-0.229067,0,0,0,0,0,0,0,0,0,0
0.2,0,0,-0.174,-0.173993,6.5049,0.996402,-0.043576,1.03998,-3.89755e-05,-0.123669,0,0,0,0,0,0,0,0,0,0
0.205,0,0,-0.174,-0.173994,6.41936,0.741609,-0.043576,0.785185,9.13424e-06,-0.10354,0,0,0,0,0,0,0,0,0,0
0.21,0,0,-0.174,-0.173994,6.48741,1.04988,-0.043576,1.09346,1.03294e-05,-0.147451,0,0,0,0,0,0,0,0,0,0
0.215,0,0,-0.174,-0.173994,6.48757,0.969129,-0.043576,1.0127,-1.47457e-05,-0.152644,0,0,0,0,0,0,0,0,0,0
0.22,0,0,-0.174,-0.173994,6.40657,0.698453,-0.043576,0.742029,-7.2454e-06,-0.064956,0,0,0,0,0,0,0,0,0,0
0.225,0,0,-0.174,-0.173994,6.4743,0.427777,-0.043576,0.471353,5.22298e-05,0.04987,0,0,0,0,0,0,0,0,0,0
0.23,0,0,-0.174,-0.173993,6.87279,1.38678,-0.043576,1.43036,0.000113729,0.078423,0,0,0,0,0,0,0,0,0,0
0.235,0,0,-0.174,-0.173993,7.47092,2.67138,-0.043576,2.71495,0.000112386,-0.007177,0,0,0,0,0,0,0,0,0,0
0.24,0,0,-0.174,-0.173992,7.91419,1.8055,-0.043576,1.84908,4.48103e-05,-0.110648,0,0,0,0,0,0,0,0,0,0
