# trace n_full=62853 stride=5 n_written=12571
# B0_Ns_per_m=400
# K_N_per_m=5000
# bias_um=0
# case_id=ASFC_default
# fd_scale=1
# fd_sha256=58858d990d4f36176992fea6e5590f4a8ab64bca1face89aaacc6ea25d261187
# mode=ASFC
# mu=896436268.5
# n=3
# n_steps_done=62853
# note=
# r_actual=1
# r_design=1
# status=OK
# v_ref_m_s=0.0006679905
# units t=s phase=code along_mm=mm y_d=m y_sim=m e_um=um e_raw_um=um b_um=um e_vib_um=um v_m_s=m/s Fd_N=N F_spring_N=N F_linear_damping_N=N F_shear_N=N F_SFC_N=N tau_1=N*m tau_2=N*m tau_3=N*m tau_4=N*m tau_5=N*m tau_6=N*m
# phase_names=start,fwd_steady,turn,ret_steady,stop
t,phase,along_mm,y_d,y_sim,e_um,e_raw_um,b_um,e_vib_um,v_m_s,Fd_N,F_spring_N,F_linear_damping_N,F_shear_N,F_SFC_N,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
0,0,0,-0.174,-0.174,-2.77556e-11,6.46262,-0.043576,6.50619,0,2.08881,1.38778e-13,-0,-0,1.38778e-13,-9.58955e-14,0,0,0,-1.38778e-14,0
0.005,0,0,-0.174,-0.174002,-1.55309,5.47212,-0.043576,5.5157,-0.000910768,2.80687,0.00776543,0.364307,0.677241,1.04931,-0.725076,-1.35328e-06,2.64057e-07,2.63878e-07,-0.104931,1.16497e-16
0.01,0,0,-0.174,-0.174006,-6.3275,4.48162,-0.043576,4.5252,-0.000880802,2.92874,0.0316375,0.352321,0.612569,0.996527,-0.688623,-5.09085e-06,9.95954e-07,9.93491e-07,-0.0996527,-1.10637e-16
0.015,0,0,-0.174,-0.17401,-10.183,3.49113,-0.043576,3.5347,-0.000605588,2.4511,0.0509148,0.242235,0.199091,0.49224,-0.340175,-4.04422e-06,7.93991e-07,7.90114e-07,-0.049224,5.46497e-17
0.02,0,0,-0.174,-0.174013,-12.7368,3.29039,-0.043576,3.33396,-0.000388523,1.66146,0.0636841,0.155409,0.0525738,0.271667,-0.187764,-2.78992e-06,5.49971e-07,5.45763e-07,-0.0271667,0
0.025,0,0,-0.174,-0.174014,-14.3983,2.43782,-0.043576,2.4814,-0.000260259,0.934817,0.0719915,0.104104,0.015803,0.191898,-0.132649,-2.2221e-06,4.39965e-07,4.35289e-07,-0.0191898,2.1305e-17
0.03,0,0,-0.174,-0.174015,-15.4848,0.813053,-0.043576,0.85663,-0.000147388,0.484961,0.0774241,0.0589552,0.00287016,0.139249,-0.0962709,-1.72704e-06,3.43507e-07,3.38798e-07,-0.0139249,0
0.035,0,0,-0.174,-0.174016,-15.9309,1.15866,-0.043576,1.20224,5.86008e-06,0.266412,0.0796543,-0.00234403,-1.80398e-07,0.0773101,-0.0534575,-9.83027e-07,1.96428e-07,1.93126e-07,-0.00773101,0
0.04,0,0,-0.174,-0.174016,-15.5724,1.09594,-0.043576,1.13951,0.000162712,0.097461,0.0778622,-0.0650849,-0.00386171,0.00891565,-0.00616594,-1.10684e-07,2.22184e-08,2.17767e-08,-0.000891565,-9.89837e-19
0.045,0,0,-0.174,-0.174015,-14.5533,0.393916,-0.043576,0.437492,0.000245965,-0.13096,0.0727664,-0.0983858,-0.0133394,-0.0389588,0.026948,4.52337e-07,-9.12112e-08,-8.91243e-08,0.00389588,0
0.05,0,0,-0.174,-0.174013,-13.3031,0.758864,-0.043576,0.802441,0.000243399,-0.370341,0.0665157,-0.0973597,-0.0129264,-0.0437703,0.0302812,4.64874e-07,-9.41513e-08,-9.17231e-08,0.00437703,0
0.055,0,0,-0.174,-0.174012,-12.15,0.980264,-0.043576,1.02384,0.000212658,-0.515197,0.0607502,-0.085063,-0.00862108,-0.0329339,0.0227882,3.19162e-07,-6.49145e-08,-6.30587e-08,0.00329339,0
0.06,0,0,-0.174,-0.174011,-11.1118,0.889458,-0.043576,0.933034,0.000207391,-0.545189,0.0555591,-0.0829565,-0.00799634,-0.0353938,0.0244941,3.12978e-07,-6.39165e-08,-6.19179e-08,0.00353938,3.9295e-18
0.065,0,0,-0.174,-0.17401,-10.0385,0.220541,-0.043576,0.264117,0.000227131,-0.540051,0.0501925,-0.0908525,-0.0105039,-0.051164,0.0354133,4.07885e-07,-8.36237e-08,-8.07953e-08,0.0051164,0
0.07,0,0,-0.174,-0.174009,-8.87641,-0.128173,-0.043576,-0.084597,0.000234472,-0.572317,0.0443821,-0.0937888,-0.0115556,-0.0609623,0.0422015,4.29203e-07,-8.83218e-08,-8.51202e-08,0.00609623,0
0.075,0,0,-0.174,-0.174008,-7.74011,0.106199,-0.043576,0.149775,0.000211252,-0.629213,0.0387005,-0.0845009,-0.00845131,-0.0542517,0.0375614,3.32551e-07,-6.8675e-08,-6.60276e-08,0.00542517,0
0.08,0,0,-0.174,-0.174007,-6.75414,-0.456497,-0.043576,-0.412921,0.000176926,-0.655744,0.0337707,-0.0707704,-0.00496473,-0.0419645,0.0290582,2.23722e-07,-4.63561e-08,-4.44682e-08,0.00419645,4.65899e-18
0.085,0,0,-0.174,-0.174006,-5.91934,-1.04759,-0.043576,-1.00401,0.000155399,-0.641551,0.0295967,-0.0621598,-0.00336409,-0.0359272,0.0248809,1.66976e-07,-3.47085e-08,-3.32236e-08,0.00359272,3.98872e-18
0.09,0,0,-0.174,-0.174005,-5.16545,-1.50756,-0.043576,-1.46398,0.000144109,-0.625666,0.0258272,-0.0576438,-0.00268285,-0.0344994,0.023895,1.39003e-07,-2.89809e-08,-2.76848e-08,0.00344994,0
0.095,0,0,-0.174,-0.174004,-4.47423,-1.55388,-0.043576,-1.5103,0.000127981,-0.621035,0.0223711,-0.0511926,-0.00187914,-0.0307006,0.0212663,1.06272e-07,-2.22201e-08,-2.11856e-08,0.00307006,0
0.1,0,0,-0.174,-0.174004,-3.86749,-1.88944,-0.043576,-1.84586,0.000114762,-0.578609,0.0193374,-0.0459047,-0.00135491,-0.0279221,0.0193437,8.26608e-08,-1.73299e-08,-1.64932e-08,0.00279221,0
0.105,0,0,-0.174,-0.174003,-3.27309,-2.8946,-0.043576,-2.85102,0.000134048,-0.454154,0.0163654,-0.0536193,-0.00215924,-0.0394131,0.0273071,9.75721e-08,-2.05082e-08,-1.94847e-08,0.00394131,4.37573e-18
0.11,0,0,-0.174,-0.174002,-2.49483,-2.84271,-0.043576,-2.79913,0.000193607,-0.290179,0.0124742,-0.0774427,-0.00650552,-0.0714741,0.0495252,1.33502e-07,-2.81275e-08,-2.66807e-08,0.00714741,0
0.115,0,0,-0.174,-0.174001,-1.39667,-2.26445,-0.043576,-2.22087,0.000252439,-0.191977,0.00698335,-0.100976,-0.0144209,-0.108413,0.0751276,1.12487e-07,-2.37537e-08,-2.24976e-08,0.0108413,0
