# trace n_full=62853 stride=5 n_written=12571
# B0_Ns_per_m=400
# K_N_per_m=5000
# bias_um=0
# case_id=ASFC_medium
# fd_scale=1
# fd_sha256=58858d990d4f36176992fea6e5590f4a8ab64bca1face89aaacc6ea25d261187
# mode=ASFC
# mu=1197621.822
# n=2
# n_steps_done=62853
# note=
# r_actual=2
# r_design=2
# status=OK
# v_ref_m_s=0.0006679905
# units t=s phase=code along_mm=mm y_d=m y_sim=m e_um=um e_raw_um=um b_um=um e_vib_um=um v_m_s=m/s Fd_N=N F_spring_N=N F_linear_damping_N=N F_shear_N=N F_SFC_N=N tau_1=N*m tau_2=N*m tau_3=N*m tau_4=N*m tau_5=N*m tau_6=N*m
# phase_names=start,fwd_steady,turn,ret_steady,stop
t,phase,along_mm,y_d,y_sim,e_um,e_raw_um,b_um,e_vib_um,v_m_s,Fd_N,F_spring_N,F_linear_damping_N,F_shear_N,F_SFC_N,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
0,0,0,-0.174,-0.174,-2.77556e-11,6.46262,-0.043576,6.50619,0,2.08881,1.38778e-13,-0,-0,1.38778e-13,-9.58955e-14,0,0,0,-1.38778e-14,0
0.005,0,0,-0.174,-0.174002,-1.50344,5.47212,-0.043576,5.5157,-0.00084419,2.80687,0.00751718,0.337676,0.853493,1.19869,-0.828292,-1.50531e-06,2.9372e-07,2.93522e-07,-0.119869,0
0.01,0,0,-0.174,-0.174006,-5.89422,4.48162,-0.043576,4.5252,-0.000797041,2.92874,0.0294711,0.318816,0.760819,1.10911,-0.766417,-5.3231e-06,1.04139e-06,1.03881e-06,-0.110911,-1.23136e-16
0.015,0,0,-0.174,-0.174009,-9.31183,3.49113,-0.043576,3.5347,-0.000518302,2.4511,0.0465591,0.207321,0.321726,0.575606,-0.397787,-4.36862e-06,8.57679e-07,8.53492e-07,-0.0575606,0
0.02,0,0,-0.174,-0.174011,-11.4707,3.29039,-0.043576,3.33396,-0.000325369,1.66146,0.0573537,0.130147,0.126786,0.314287,-0.217221,-2.94039e-06,5.79633e-07,5.75198e-07,-0.0314287,3.48929e-17
0.025,0,0,-0.174,-0.174013,-12.8741,2.43782,-0.043576,2.4814,-0.000224701,0.934817,0.0643707,0.0898803,0.0604685,0.21472,-0.148425,-2.24966e-06,4.45421e-07,4.40687e-07,-0.021472,0
0.03,0,0,-0.174,-0.174014,-13.8277,0.813053,-0.043576,0.85663,-0.000133577,0.484961,0.0691386,0.053431,0.0213691,0.143939,-0.0995128,-1.61255e-06,3.20735e-07,3.16339e-07,-0.0143939,-1.59804e-17
0.035,0,0,-0.174,-0.174014,-14.2447,1.15866,-0.043576,1.20224,6.87558e-07,0.266412,0.0712237,-0.000275023,-5.66159e-07,0.0709481,-0.0490584,-8.15515e-07,1.62955e-07,1.60217e-07,-0.00709481,0
0.04,0,0,-0.174,-0.174014,-13.9363,1.09594,-0.043576,1.13951,0.000145132,0.097461,0.0696814,-0.0580528,-0.0252258,-0.0135972,0.00940363,1.52695e-07,-3.06518e-08,-3.00425e-08,0.00135972,0
0.045,0,0,-0.174,-0.174013,-13.0372,0.393916,-0.043576,0.437492,0.00021283,-0.13096,0.0651859,-0.085132,-0.0542483,-0.0741944,0.0513206,7.79988e-07,-1.5728e-07,-1.53682e-07,0.00741944,-8.23724e-18
