# trace n_full=62853 stride=5 n_written=12571
# B0_Ns_per_m=400
# K_N_per_m=5000
# bias_um=0
# case_id=ASFC_strong
# fd_scale=1
# fd_sha256=58858d990d4f36176992fea6e5590f4a8ab64bca1face89aaacc6ea25d261187
# mode=ASFC
# mu=61906.29881
# n=1.5
# n_steps_done=62853
# note=
# r_actual=4
# r_design=4
# status=OK
# v_ref_m_s=0.0006679905
# units t=s phase=code along_mm=mm y_d=m y_sim=m e_um=um e_raw_um=um b_um=um e_vib_um=um v_m_s=m/s Fd_N=N F_spring_N=N F_linear_damping_N=N F_shear_N=N F_SFC_N=N tau_1=N*m tau_2=N*m tau_3=N*m tau_4=N*m tau_5=N*m tau_6=N*m
# phase_names=start,fwd_steady,turn,ret_steady,stop
t,phase,along_mm,y_d,y_sim,e_um,e_raw_um,b_um,e_vib_um,v_m_s,Fd_N,F_spring_N,F_linear_damping_N,F_shear_N,F_SFC_N,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
0,0,0,-0.174,-0.174,-2.77556e-11,6.46262,-0.043576,6.50619,0,2.08881,1.38778e-13,-0,-0,1.38778e-13,-9.58955e-14,0,0,0,-1.38778e-14,0
0.005,0,0,-0.174,-0.174001,-1.39292,5.47212,-0.043576,5.5157,-0.00072296,2.80687,0.00696461,0.289184,1.20339,1.49954,-1.03618,-1.76953e-06,3.45275e-07,3.45042e-07,-0.149954,1.66482e-16
0.01,0,0,-0.174,-0.174005,-5.02596,4.48162,-0.043576,4.5252,-0.00063439,2.92874,0.0251298,0.253756,0.989167,1.26805,-0.876253,-5.30068e-06,1.037e-06,1.03444e-06,-0.126805,1.40782e-16
0.015,0,0,-0.174,-0.174008,-7.68881,3.49113,-0.043576,3.5347,-0.000390291,2.4511,0.038444,0.156116,0.477328,0.671889,-0.464326,-4.31403e-06,8.46959e-07,8.42826e-07,-0.0671889,7.45946e-17
0.02,0,0,-0.174,-0.174009,-9.2988,3.29039,-0.043576,3.33396,-0.000241788,1.66146,0.046494,0.0967153,0.232749,0.375958,-0.259845,-2.92724e-06,5.7704e-07,5.72625e-07,-0.0375958,0
0.025,0,0,-0.174,-0.17401,-10.3544,2.43782,-0.043576,2.4814,-0.000173213,0.934817,0.0517718,0.0692852,0.141126,0.262183,-0.181234,-2.26889e-06,4.49229e-07,4.44455e-07,-0.0262183,2.91081e-17
0.03,0,0,-0.174,-0.174011,-11.0988,0.813053,-0.043576,0.85663,-0.000106348,0.484961,0.0554942,0.0425391,0.0678934,0.165927,-0.114714,-1.53116e-06,3.04546e-07,3.00372e-07,-0.0165927,0
0.035,0,0,-0.174,-0.174011,-11.4364,1.15866,-0.043576,1.20224,-1.75531e-06,0.266412,0.0571819,0.000702123,0.000143968,0.058028,-0.0401246,-5.49039e-07,1.09708e-07,1.07865e-07,-0.0058028,-6.4424e-18
0.04,0,0,-0.174,-0.174011,-11.1985,1.09594,-0.043576,1.13951,0.000112351,0.097461,0.0559924,-0.0449404,-0.0737224,-0.0626703,0.043342,5.79558e-07,-1.16339e-07,-1.14027e-07,0.00626703,-6.95781e-18
0.045,0,0,-0.174,-0.174011,-10.5217,0.393916,-0.043576,0.437492,0.000154648,-0.13096,0.0526086,-0.0618593,-0.119056,-0.128307,0.0887507,1.1151e-06,-2.24854e-07,-2.1971e-07,0.0128307,0
0.05,0,0,-0.174,-0.17401,-9.76228,0.758864,-0.043576,0.802441,0.000141305,-0.370341,0.0488114,-0.056522,-0.103985,-0.111696,0.0772735,8.99873e-07,-1.82252e-07,-1.77552e-07,0.0111696,0
0.055,0,0,-0.174,-0.174009,-9.10312,0.980264,-0.043576,1.02384,0.000120652,-0.515197,0.0455156,-0.0482609,-0.0820423,-0.0847876,0.0586676,6.34696e-07,-1.29091e-07,-1.25401e-07,0.00847876,9.41331e-18
0.06,0,0,-0.174,-0.174009,-8.50313,0.889458,-0.043576,0.933034,0.000124455,-0.545189,0.0425157,-0.0497822,-0.0859519,-0.0932184,0.0645116,6.48432e-07,-1.32423e-07,-1.28283e-07,0.00932184,-1.03493e-17
0.065,0,0,-0.174,-0.174008,-7.84348,0.220541,-0.043576,0.264117,0.000142965,-0.540051,0.0392174,-0.0571859,-0.105823,-0.123791,0.0856825,7.90415e-07,-1.62049e-07,-1.56568e-07,0.0123791,0
0.07,0,0,-0.174,-0.174007,-7.11066,-0.128173,-0.043576,-0.084597,0.00014714,-0.572317,0.0355533,-0.058856,-0.110492,-0.133795,0.0926203,7.71109e-07,-1.5868e-07,-1.52928e-07,0.0133795,1.48542e-17
0.075,0,0,-0.174,-0.174006,-6.40338,0.106199,-0.043576,0.149775,0.000129951,-0.629213,0.0320169,-0.0519804,-0.0917075,-0.111671,0.077316,5.76495e-07,-1.19052e-07,-1.14463e-07,0.0111671,0
0.08,0,0,-0.174,-0.174006,-5.79786,-0.456497,-0.043576,-0.412921,0.000109283,-0.655744,0.0289893,-0.0437131,-0.0707234,-0.0854472,0.0591677,3.96383e-07,-8.21326e-08,-7.87875e-08,0.00854472,-9.48654e-18
0.085,0,0,-0.174,-0.174005,-5.27475,-1.04759,-0.043576,-1.00401,0.000100033,-0.641551,0.0263738,-0.0400134,-0.0619374,-0.075577,0.0523398,3.15964e-07,-6.56781e-08,-6.2868e-08,0.0075577,0
0.09,0,0,-0.174,-0.174005,-4.7815,-1.50756,-0.043576,-1.46398,9.6121e-05,-0.625666,0.0239075,-0.0384484,-0.0583394,-0.0728803,0.0504784,2.73319e-07,-5.69849e-08,-5.44362e-08,0.00728803,0
0.095,0,0,-0.174,-0.174004,-4.31779,-1.55388,-0.043576,-1.5103,8.6505e-05,-0.621035,0.0215889,-0.034602,-0.0498077,-0.0628208,0.0435159,2.10233e-07,-4.3957e-08,-4.19105e-08,0.00628208,0
0.1,0,0,-0.174,-0.174004,-3.90346,-1.88944,-0.043576,-1.84586,8.04633e-05,-0.578609,0.0195173,-0.0321853,-0.0446819,-0.0573499,0.0397305,1.71131e-07,-3.58777e-08,-3.41454e-08,0.00573499,6.36711e-18
