# trace n_full=62853 stride=5 n_written=12571
# B0_Ns_per_m=400
# K_N_per_m=5000
# bias_um=0
# case_id=Alinear
# fd_scale=1
# fd_sha256=58858d990d4f36176992fea6e5590f4a8ab64bca1face89aaacc6ea25d261187
# mode=Alinear
# mu=0
# n=1
# n_steps_done=62853
# note=
# r_actual=0
# r_design=0
# status=OK
# v_ref_m_s=0.0006679905
# units t=s phase=code along_mm=mm y_d=m y_sim=m e_um=um e_raw_um=um b_um=um e_vib_um=um v_m_s=m/s Fd_N=N F_spring_N=N F_linear_damping_N=N F_shear_N=N F_SFC_N=N tau_1=N*m tau_2=N*m tau_3=N*m tau_4=N*m tau_5=N*m tau_6=N*m
# phase_names=start,fwd_steady,turn,ret_steady,stop
t,phase,along_mm,y_d,y_sim,e_um,e_raw_um,b_um,e_vib_um,v_m_s,Fd_N,F_spring_N,F_linear_damping_N,F_shear_N,F_SFC_N,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
0,0,0,-0.174,-0.174,-2.77556e-11,6.46262,-0.043576,6.50619,0,2.08881,1.38778e-13,-0,0,1.38778e-13,-9.58955e-14,0,0,0,-1.38778e-14,0
0.005,0,0,-0.174,-0.174002,-1.5784,5.47212,-0.043576,5.5157,-0.000992948,2.80687,0.00789201,0.397179,0,0.405071,-0.279904,-5.29362e-07,1.03291e-07,1.03221e-07,-0.0405071,-4.4972e-17
0.01,0,0,-0.174,-0.174008,-7.60617,4.48162,-0.043576,4.5252,-0.00128521,2.92874,0.0380309,0.514086,0,0.552116,-0.381525,-3.31911e-06,6.49339e-07,6.47732e-07,-0.0552116,0
0.015,0,0,-0.174,-0.174013,-13.3097,3.49113,-0.043576,3.5347,-0.000878157,2.4511,0.0665485,0.351263,0,0.417811,-0.288739,-4.37184e-06,8.58315e-07,8.54123e-07,-0.0417811,0
0.02,0,0,-0.174,-0.174017,-16.8501,3.29039,-0.043576,3.33396,-0.000488597,1.66146,0.0842503,0.195439,0,0.279689,-0.193308,-3.70451e-06,7.30265e-07,7.24675e-07,-0.0279689,0
0.025,0,0,-0.174,-0.174019,-18.8066,2.43782,-0.043576,2.4814,-0.000272523,0.934817,0.0940332,0.109009,0,0.203042,-0.140353,-2.9999e-06,5.93968e-07,5.87653e-07,-0.0203042,0
0.03,0,0,-0.174,-0.17402,-19.8698,0.813053,-0.043576,0.85663,-0.000123767,0.484961,0.0993488,0.0495069,0,0.148856,-0.102912,-2.31938e-06,4.61326e-07,4.55002e-07,-0.0148856,3.30526e-17
0.035,0,0,-0.174,-0.17402,-20.1647,1.15866,-0.043576,1.20224,4.29794e-05,0.266412,0.100823,-0.0171918,0,0.0836316,-0.0578286,-1.32e-06,2.63761e-07,2.59328e-07,-0.00836316,0
0.04,0,0,-0.174,-0.17402,-19.6116,1.09594,-0.043576,1.13951,0.000203601,0.097461,0.098058,-0.0814402,0,0.0166177,-0.0114926,-2.54906e-07,5.11693e-08,5.01521e-08,-0.00166177,0
0.045,0,0,-0.174,-0.174018,-18.3808,0.393916,-0.043576,0.437492,0.000290752,-0.13096,0.0919041,-0.116301,0,-0.0243967,0.0168753,3.50829e-07,-7.07428e-08,-6.91242e-08,0.00243967,0
0.05,0,0,-0.174,-0.174017,-16.9007,0.758864,-0.043576,0.802441,0.00029017,-0.370341,0.0845034,-0.116068,0,-0.0315647,0.0218371,4.17347e-07,-8.45255e-08,-8.23456e-08,0.00315647,0
0.055,0,0,-0.174,-0.174016,-15.5181,0.980264,-0.043576,1.02384,0.000256637,-0.515197,0.0775903,-0.102655,0,-0.0250647,0.0173431,3.03889e-07,-6.1808e-08,-6.0041e-08,0.00250647,0
0.06,0,0,-0.174,-0.174014,-14.2675,0.889458,-0.043576,0.933034,0.000247843,-0.545189,0.0713373,-0.0991373,0,-0.0278,0.0192388,3.09149e-07,-6.31344e-08,-6.11603e-08,0.00278,-6.17283e-18
0.065,0,0,-0.174,-0.174013,-12.9962,0.220541,-0.043576,0.264117,0.000265817,-0.540051,0.0649809,-0.106327,0,-0.0413458,0.0286176,4.17807e-07,-8.56577e-08,-8.27606e-08,0.00413458,0
0.07,0,0,-0.174,-0.174012,-11.6421,-0.128173,-0.043576,-0.084597,0.00027237,-0.572317,0.0582106,-0.108948,0,-0.0507375,0.0351233,4.58342e-07,-9.4318e-08,-9.08991e-08,0.00507375,0
0.075,0,0,-0.174,-0.17401,-10.3199,0.106199,-0.043576,0.149775,0.00024692,-0.629213,0.0515995,-0.0987678,0,-0.0471683,0.0326571,3.76759e-07,-7.78044e-08,-7.48052e-08,0.00471683,0
0.08,0,0,-0.174,-0.174009,-9.16287,-0.456497,-0.043576,-0.412921,0.00020885,-0.655744,0.0458143,-0.0835398,0,-0.0377255,0.0261229,2.66509e-07,-5.52218e-08,-5.29728e-08,0.00377255,0
0.085,0,0,-0.174,-0.174008,-8.17569,-1.04759,-0.043576,-1.00401,0.000183887,-0.641551,0.0408785,-0.0735549,0,-0.0326764,0.0226296,2.04879e-07,-4.25871e-08,-4.07651e-08,0.00326764,0
0.09,0,0,-0.174,-0.174007,-7.28467,-1.50756,-0.043576,-1.46398,0.000170093,-0.625666,0.0364234,-0.0680372,0,-0.0316139,0.0218964,1.75512e-07,-3.65928e-08,-3.49562e-08,0.00316139,0
0.095,0,0,-0.174,-0.174006,-6.46768,-1.55388,-0.043576,-1.5103,0.000151931,-0.621035,0.0323384,-0.0607724,0,-0.0284339,0.0196961,1.39122e-07,-2.90887e-08,-2.77344e-08,0.00284339,3.1568e-18
0.1,0,0,-0.174,-0.174006,-5.74499,-1.88944,-0.043576,-1.84586,0.000136869,-0.578609,0.0287249,-0.0547476,0,-0.0260226,0.0180278,1.12094e-07,-2.35005e-08,-2.23659e-08,0.00260226,0
0.105,0,0,-0.174,-0.174005,-5.04302,-2.8946,-0.043576,-2.85102,0.000154829,-0.454154,0.0252151,-0.0619315,0,-0.0367164,0.0254387,1.37497e-07,-2.88997e-08,-2.74574e-08,0.00367164,4.07634e-18
0.11,0,0,-0.174,-0.174004,-4.16164,-2.84271,-0.043576,-2.79913,0.000214403,-0.290179,0.0208082,-0.0857612,0,-0.064953,0.0450066,1.98917e-07,-4.19097e-08,-3.9754e-08,0.0064953,0
0.115,0,0,-0.174,-0.174003,-2.95543,-2.26445,-0.043576,-2.22087,0.000275752,-0.191977,0.0147772,-0.110301,0,-0.0955237,0.0661954,2.05796e-07,-4.34575e-08,-4.11595e-08,0.00955237,0
0.12,0,0,-0.174,-0.174002,-1.53092,-1.02149,-0.043576,-0.977913,0.000284867,-0.21215,0.00765461,-0.113947,0,-0.106292,0.073664,1.16159e-07,-2.45815e-08,-2.32483e-08,0.0106292,-1.18008e-17
0.125,0,0,-0.174,-0.174,-0.19147,-0.485609,-0.043576,-0.442033,0.000233941,-0.284611,0.000957351,-0.0935762,0,-0.0926189,0.0641931,8.59015e-09,-1.82151e-09,-1.72039e-09,0.00926189,0
0.13,0,0,-0.174,-0.173999,0.847392,-0.180215,-0.043576,-0.136639,0.000173067,-0.297243,-0.00423696,-0.069227,0,-0.0734639,0.0509209,-5.066e-08,1.07627e-08,1.01523e-08,0.00734639,0
0.135,0,0,-0.174,-0.173998,1.65387,-0.031386,-0.043576,0.012191,0.000153976,-0.223167,-0.00826934,-0.0615903,0,-0.0698596,0.048426,-9.07705e-08,1.93187e-08,1.82012e-08,0.00698596,0
0.14,0,0,-0.174,-0.173998,2.45126,0.89343,-0.043576,0.937007,0.000169729,-0.154861,-0.0122563,-0.0678917,0,-0.080148,0.0555615,-1.51924e-07,3.23887e-08,3.04807e-08,0.0080148,0
0.145,0,0,-0.174,-0.173997,3.30652,1.74524,-0.043576,1.78882,0.000162302,-0.196726,-0.0165326,-0.0649206,0,-0.0814532,0.0564699,-2.0606e-07,4.4e-08,4.1364e-08,0.00814532,0
0.15,0,0,-0.174,-0.173996,4.00189,1.86669,-0.043576,1.91027,9.19915e-05,-0.336453,-0.0200094,-0.0367966,0,-0.056806,0.0393848,-1.73293e-07,3.70588e-08,3.48037e-08,0.0056806,6.30674e-18
0.155,0,0,-0.174,-0.173996,4.25662,1.49026,-0.043576,1.53384,-9.3536e-06,-0.441956,-0.0212831,0.00374144,0,-0.0175417,0.0121627,-5.71383e-08,1.22364e-08,1.14809e-08,0.00175417,0
0.16,0,0,-0.174,-0.173996,4.06886,1.11085,-0.043576,1.15442,-6.29981e-05,-0.392568,-0.0203443,0.0251992,0,0.00485491,-0.00336637,1.52633e-08,-3.27306e-09,-3.06824e-09,-0.000485491,0
0.165,0,0,-0.174,-0.173996,3.79807,1.17023,-0.043576,1.2138,-2.26958e-05,-0.207413,-0.0189904,0.00907834,0,-0.00991202,0.00687329,-2.93668e-08,6.30534e-09,5.90581e-09,0.000991202,1.10045e-18
0.17,0,0,-0.174,-0.173996,3.87237,0.973911,-0.043576,1.01749,7.39359e-05,-0.035834,-0.0193619,-0.0295744,0,-0.0489362,0.0339354,-1.478e-07,3.17718e-08,2.9735e-08,0.00489362,0
0.175,0,0,-0.174,-0.173996,4.39826,0.964427,-0.043576,1.008,0.000136694,-0.016991,-0.0219913,-0.0546778,0,-0.0766691,0.0531694,-2.60538e-07,5.6069e-08,5.24356e-08,0.00766691,0
0.18,0,0,-0.174,-0.173995,5.06041,1.87489,-0.043576,1.91847,0.000106924,-0.14859,-0.0253021,-0.0427694,0,-0.0680715,0.0472089,-2.63932e-07,5.68592e-08,5.31373e-08,0.00680715,0
0.185,0,0,-0.174,-0.173995,5.41471,2.31089,-0.043576,2.35446,1.11263e-05,-0.294868,-0.0270735,-0.00445053,0,-0.0315241,0.0218634,-1.30542e-07,2.81509e-08,2.62908e-08,0.00315241,0
0.19,0,0,-0.174,-0.173995,5.28855,2.33849,-0.043576,2.38206,-6.84183e-05,-0.323187,-0.0264428,0.0273673,0,0.000924542,-0.000641236,3.75517e-09,-8.10544e-10,-7.56513e-10,-9.24542e-05,0
